indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,219.77103,181.11520,75680.30000,0.27115,0.47189,279.51852,0.56959,0.81182,0.05115,0.37580,0.29240,0.28664
1980-11-30,206.26433,129.76770,75591.24000,0.23539,0.75648,274.36655,1.60520,0.78676,0.60324,0.37022,0.22911,0.25564
1980-12-31,202.14905,103.25594,75497.12500,0.23516,1.88617,273.48690,0.81648,1.28516,9.08449,0.37255,0.21229,0.25977
1981-01-31,213.56763,106.72775,75160.23000,0.26049,3.30805,271.97675,1.02711,1.93051,38.65708,0.38988,0.23609,0.23972
1981-02-28,208.87856,151.25638,75258.08000,0.26448,1.14369,271.18594,1.53728,1.16542,121.82548,0.39963,0.25851,0.34899
1981-03-31,218.10638,203.07317,74991.97000,0.32303,2.91133,271.31104,1.48517,0.65907,127.08041,0.41283,0.42595,0.28365
1981-04-30,219.02928,266.57397,75245.09000,0.34786,0.50201,276.72640,1.14951,1.07367,176.37305,0.42758,0.94218,0.28209
1981-05-31,232.88167,297.55400,75140.80500,0.40343,0.77632,279.23468,2.06544,0.16862,90.32601,0.46947,2.14404,0.28835
1981-06-30,253.11836,327.78210,75577.14000,0.45488,0.07800,286.09814,1.96775,0.68306,17.89028,0.45950,1.47022,0.47338
1981-07-31,248.85876,327.84985,75695.59000,0.37722,0.00335,288.09280,1.29167,1.85443,0.06118,0.39696,0.47283,0.11943
1981-08-31,258.11430,291.04553,75761.48000,0.40019,0.11197,289.24878,0.69035,1.43424,0.01011,0.35535,0.24527,0.05673
1981-09-30,256.32562,234.73976,75654.27000,0.42682,0.19849,285.10553,0.88332,0.86893,0.00000,0.33137,0.15722,0.08507
1981-10-31,225.68380,170.22604,75310.44500,0.32587,2.07889,276.89413,1.14762,0.97002,0.00000,0.32381,0.11478,0.18043
1981-11-30,225.04895,119.97640,75266.10000,0.33829,3.76183,273.76380,2.11784,3.04053,30.64168,0.34452,0.18354,0.27372
1981-12-31,219.76405,95.65311,75197.35000,0.30069,2.89338,272.14320,4.15306,1.62952,74.48075,0.40051,0.35873,0.27384
1982-01-31,193.79457,112.42228,74966.50000,0.21557,4.43515,267.50455,2.67498,0.89449,137.70149,0.40956,0.38910,0.24910
1982-02-28,208.21652,153.30354,75221.19500,0.28861,2.49014,271.08875,2.50526,1.02505,274.72380,0.39751,0.42002,0.58134
1982-03-31,211.64558,200.61276,74725.78000,0.28807,3.37653,270.16162,2.43545,3.20915,291.04385,0.43201,0.75426,0.32247
1982-04-30,211.19092,259.61765,75143.96000,0.30687,3.30133,273.46997,2.45086,2.44935,368.03440,0.42450,1.14753,0.76341
1982-05-31,221.92235,312.45538,75148.89000,0.35929,0.42326,279.29996,0.90923,0.20593,362.91430,0.46906,3.05118,1.21694
1982-06-30,248.99135,311.47495,75243.23000,0.45253,2.16114,282.07178,0.61155,0.86634,212.92508,0.49303,4.77486,1.89441
1982-07-31,263.18903,318.26044,75703.22000,0.53087,0.51073,287.20346,0.81349,1.70836,84.49460,0.48890,2.83458,1.61406
1982-08-31,267.06525,284.13240,75847.47000,0.51667,0.78543,288.11343,0.44262,2.72714,20.76435,0.43119,1.38155,0.80106
1982-09-30,245.49200,226.26746,75388.41400,0.42641,2.32524,281.72470,1.06183,1.84402,0.42914,0.39870,0.49890,0.69729
1982-10-31,227.18283,174.22606,75462.83600,0.32720,2.82212,277.17330,1.20141,1.25806,3.43220,0.42682,0.57200,0.74006
1982-11-30,212.39713,125.18900,74950.48400,0.25920,4.24738,271.45288,2.01059,2.16179,35.62956,0.44741,0.73529,0.68671
1982-12-31,199.44186,100.08582,74990.48400,0.24062,3.44829,269.40628,1.83330,0.57068,148.24280,0.43202,0.57051,0.64579
1983-01-31,211.81252,110.17864,75153.77000,0.27109,3.83860,271.13312,1.50353,1.52716,239.83592,0.42862,0.47970,0.25508
1983-02-28,223.13434,145.73514,74795.73000,0.30299,4.79940,270.32727,2.74457,3.07745,347.89212,0.42408,0.44476,0.51806
1983-03-31,226.22614,197.98341,74564.43000,0.32557,4.75939,270.50385,3.06117,2.44419,466.29315,0.42509,0.64669,0.86632
1983-04-30,225.92548,242.97386,74727.61000,0.30805,1.87864,271.70157,0.79391,1.43421,575.18360,0.43067,0.74243,0.71360
