indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,277.84454,181.97725,87655.21000,0.45521,0.98789,287.19920,0.16892,0.27316,0.00000,0.39423,0.22995,0.15367
1980-11-30,263.88068,118.48411,87824.49000,0.37729,1.31660,281.89260,0.24751,0.31494,0.00000,0.39541,0.17129,0.15111
1980-12-31,254.39859,97.14103,87746.12500,0.38188,3.19867,279.81090,-0.02162,0.82590,2.33625,0.41023,0.16185,0.33787
1981-01-31,263.71950,98.34957,87485.12500,0.41202,7.73824,278.24136,-0.17252,1.51515,8.16968,0.48750,0.31096,0.73519
1981-02-28,264.66794,136.83632,87639.05500,0.43001,3.52764,278.12552,-0.11666,0.75337,94.52945,0.60893,1.10248,1.20510
1981-03-31,269.11658,182.03636,87305.34000,0.46839,6.38285,277.99695,0.22958,0.99331,83.30843,0.64250,2.75003,2.13948
1981-04-30,268.93730,272.13687,87414.83600,0.55446,1.53145,282.56970,0.34471,0.63638,93.44970,0.67439,2.23294,2.41080
1981-05-31,286.66327,308.59286,87248.68000,0.67176,1.86628,285.62585,1.06979,0.31778,34.41589,0.64065,1.98044,1.72298
1981-06-30,305.32446,339.45093,87432.40000,0.75107,0.01332,292.27243,1.05721,-0.13589,1.95692,0.59207,0.99618,0.36829
1981-07-31,303.31720,346.01257,87487.54000,0.66018,0.00916,293.93576,0.64668,1.08661,0.00000,0.49712,0.49811,0.00000
1981-08-31,307.57880,309.09550,87444.01000,0.61647,0.00189,294.61273,0.55999,1.32047,0.00000,0.43183,0.30971,0.00000
1981-09-30,306.86816,234.97452,87499.55500,0.58058,0.74884,291.44055,0.77973,0.69045,0.00000,0.38639,0.21500,0.00066
1981-10-31,276.47775,161.00858,87388.11000,0.48368,4.91507,282.97678,0.23583,0.89759,0.00000,0.37720,0.16360,0.33779
1981-11-30,281.01440,100.59180,87448.90000,0.52074,14.05911,280.02228,0.24152,2.27440,8.03201,0.48367,3.35406,4.38799
1981-12-31,278.37775,77.26874,87580.76600,0.47396,12.93550,277.96304,0.78557,1.92171,37.54589,0.69218,7.71968,6.69894
1982-01-31,245.86482,104.91554,87430.41000,0.32516,9.68184,274.26035,0.47668,1.10778,99.31576,0.70645,5.55135,4.23126
1982-02-28,264.53717,139.34895,87629.41000,0.45738,7.94633,277.80154,0.14958,0.71613,277.30405,0.65700,7.75122,7.93408
1982-03-31,273.88312,173.31503,87136.64000,0.45048,12.11212,276.77707,0.19776,2.26922,200.91902,0.68236,5.97867,5.49642
1982-04-30,274.02830,244.94870,87539.29000,0.48574,8.36923,279.66100,-0.09825,1.61267,332.93402,0.68433,8.52064,9.33510
1982-05-31,274.18240,337.94900,87251.26000,0.64758,0.21734,286.15550,0.24337,0.19230,274.66208,0.67674,4.97174,6.72778
1982-06-30,297.85940,319.52246,87276.37000,0.77387,0.90990,287.66257,0.62236,0.92659,119.41414,0.61088,3.70662,3.19849
