indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,289.11963,183.07103,91440.43000,0.49470,0.76624,289.13650,0.50995,-0.16418,0.00000,0.38249,0.16170,0.00000
1980-11-30,271.70910,120.55563,91682.74000,0.38704,0.87604,283.69920,0.29854,-0.32794,0.00000,0.37992,0.12669,0.05017
1980-12-31,259.51007,100.48758,91607.65000,0.37251,2.60483,280.78995,-0.22732,0.25356,0.20868,0.38580,0.10316,0.12266
1981-01-31,275.08282,96.96734,91390.05000,0.43498,7.53720,280.00928,-0.50249,1.18498,0.02962,0.45324,0.31381,0.47227
1981-02-28,276.71143,133.25226,91549.47000,0.45949,2.63769,280.23648,-0.43943,0.07696,36.39317,0.61863,0.48960,0.42205
1981-03-31,283.74976,175.19560,91251.64000,0.51112,5.73086,280.25284,-0.07085,0.65208,20.30375,0.65327,2.12824,1.48863
1981-04-30,282.68286,265.60623,91313.20000,0.60165,1.54519,284.66684,0.44470,0.20156,11.71779,0.70457,1.48057,0.83087
1981-05-31,301.71863,304.02780,91090.20000,0.74944,1.32865,287.83670,1.19499,0.17761,1.15126,0.64805,0.76718,0.39729
1981-06-30,319.69394,344.37433,91176.66000,0.80661,0.00089,294.57178,1.16385,-0.61372,0.00000,0.59285,0.47344,0.00000
1981-07-31,316.03708,350.24948,91201.49000,0.68245,0.01315,295.79767,0.82997,0.74959,0.00000,0.50029,0.31651,0.00000
1981-08-31,317.79306,313.31097,91132.83600,0.63326,0.00022,295.85440,0.89438,1.09505,0.00000,0.43430,0.22490,0.00000
1981-09-30,319.24470,235.53476,91237.45000,0.59688,0.50425,293.14896,1.03515,0.54273,0.00000,0.38920,0.16867,0.00000
1981-10-31,287.71173,162.59402,91226.01000,0.50940,4.18853,284.89075,0.44379,0.64215,0.00000,0.37291,0.13217,0.04826
1981-11-30,293.73346,96.87579,91362.63000,0.56282,10.35920,282.17865,-0.23689,1.78632,0.44803,0.46674,1.14636,1.15413
1981-12-31,288.66980,77.36980,91536.67000,0.49194,9.20601,279.83093,-0.10796,1.15312,6.78322,0.69320,4.44584,2.53257
1982-01-31,256.28793,107.53655,91386.82000,0.33492,10.23665,276.07090,0.02381,0.70374,17.09734,0.74955,5.92212,4.16713
1982-02-28,279.02884,136.20032,91558.62500,0.49647,6.82815,279.83514,-0.19735,0.03812,149.21353,0.71512,7.82408,5.32667
1982-03-31,291.32810,163.17638,91111.30000,0.50854,10.25126,279.31296,-0.29697,1.74420,63.11557,0.72170,6.37253,5.45237
1982-04-30,289.79132,237.68716,91457.08600,0.53122,6.39011,282.05270,-0.51341,0.77833,92.53582,0.74581,8.16080,7.07975
1982-05-31,288.35565,335.78912,91071.51000,0.71169,0.15430,288.40646,0.50541,0.19483,37.46138,0.68902,2.38617,2.51361
1982-06-30,312.21182,322.63535,91113.80500,0.86257,0.55812,289.86890,1.04400,0.80377,2.50241,0.59232,0.91606,0.70471
1982-07-31,324.35703,342.76953,91277.80500,0.86969,0.02065,294.54837,0.76625,0.69651,0.00000,0.52801,0.51257,0.23642
1982-08-31,327.58688,305.08280,91329.83600,0.78791,0.04918,295.02798,0.72303,0.80999,0.00000,0.45017,0.34162,0.09624
1982-09-30,313.72565,218.57196,91090.30500,0.67312,3.74685,290.52737,0.69045,-0.48603,0.00000,0.39991,0.24876,0.12972
1982-10-31,290.25433,166.82504,91382.00000,0.55207,5.57032,285.68750,0.20687,0.29947,0.00615,0.46955,0.22036,0.35191
1982-11-30,271.09753,108.44425,91111.14000,0.40932,8.92482,279.00380,-0.08867,0.96471,0.07521,0.59933,1.43976,1.49224
1982-12-31,264.48245,91.17710,91387.00000,0.38477,6.92987,277.42820,-0.18150,-0.07137,28.46854,0.73553,5.45617,4.28060
1983-01-31,269.86548,99.07436,91328.56000,0.39180,8.36005,278.21650,-0.66658,1.06785,36.37297,0.72042,5.37366,4.18350
1983-02-28,301.87490,113.37483,91123.70000,0.51057,10.36307,279.45114,-0.82098,2.23220,46.50906,0.75472,7.24307,6.16505
1983-03-31,316.15720,156.36020,91005.98000,0.62345,11.91576,279.93118,-0.76984,2.08991,71.14539,0.75264,10.00548,9.44427
