indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,234.10347,183.15524,77596.26000,0.30533,0.82070,280.69968,0.35678,1.09732,0.20458,0.37258,0.36481,0.24683
1980-11-30,225.16722,124.52348,77586.59000,0.25930,0.84674,276.19476,1.41986,1.53960,0.19491,0.37585,0.30077,0.20164
1980-12-31,220.54668,100.06936,77593.42000,0.30409,2.29756,275.01610,0.92402,1.90576,2.74038,0.38299,0.33147,0.21667
1981-01-31,226.78156,104.56058,77177.66000,0.28904,4.85313,272.99658,1.03387,2.29521,12.46075,0.42410,0.47905,0.20763
1981-02-28,225.83028,147.52748,77399.79000,0.31859,1.68409,272.29645,1.42461,1.83937,139.96413,0.42358,0.54630,0.36865
1981-03-31,233.82027,197.85687,77053.09000,0.35342,3.75470,272.45932,1.32395,1.16813,118.21461,0.46528,1.02038,0.39199
1981-04-30,231.66599,266.23130,77187.37000,0.36929,1.15425,277.34210,1.16131,1.34447,150.27248,0.49033,2.39234,1.31043
1981-05-31,245.37180,297.23462,77071.98400,0.42876,1.11111,279.98105,1.93356,0.40559,52.75835,0.50832,2.96260,1.81867
1981-06-30,262.66820,330.60740,77489.80500,0.50235,0.08632,286.64017,1.92188,0.95561,5.00951,0.46605,1.44721,0.97971
1981-07-31,258.31012,331.60272,77546.86000,0.39660,0.00532,288.47876,1.72670,1.69213,0.21864,0.40277,0.68504,0.26061
1981-08-31,267.32367,291.11220,77590.03000,0.39269,0.01279,290.00018,1.12018,1.43311,0.08963,0.35958,0.40418,0.18695
1981-09-30,266.26240,235.19916,77533.73400,0.41709,0.45286,286.09460,1.19465,0.85590,0.00168,0.33341,0.26631,0.11885
1981-10-31,239.34462,165.17691,77243.23400,0.34838,2.89214,277.72836,0.95892,1.36073,0.00000,0.33140,0.19061,0.16154
1981-11-30,238.66371,112.36182,77178.37000,0.35323,7.20532,274.55180,2.05923,3.29393,25.59928,0.37468,0.46595,0.74646
1981-12-31,238.79208,89.07312,77247.26600,0.34259,5.40953,272.91350,3.84080,2.82125,90.26566,0.48356,1.45291,1.15616
1982-01-31,212.14655,109.29414,77108.25000,0.25554,6.52587,268.73600,2.22903,1.64253,172.88287,0.49974,1.40660,0.59143
1982-02-28,224.70296,148.14407,77312.51000,0.32821,5.23897,272.30860,2.21158,2.13747,366.47012,0.46655,2.56498,2.20525
1982-03-31,225.44922,194.53424,76725.26600,0.31034,5.87457,271.33414,2.28948,3.34555,363.20947,0.52265,2.18120,1.03813
1982-04-30,227.63441,264.61542,77318.51000,0.36702,4.94601,274.35740,1.97504,2.96274,488.24990,0.49082,3.55361,2.98497
1982-05-31,232.98645,323.91858,77192.49000,0.41978,0.42228,280.11500,0.68586,0.27291,422.46823,0.55161,8.21347,4.88913
1982-06-30,256.33957,314.62753,77140.76600,0.48657,1.28853,282.50910,0.98875,0.66858,154.30770,0.52011,5.74702,4.33679
1982-07-31,270.19794,321.35570,77554.71000,0.54706,0.29780,287.60513,1.45606,1.54381,26.27775,0.47392,2.10844,2.10297
1982-08-31,274.37695,283.12766,77672.88000,0.51165,0.41991,288.59580,1.02785,2.38915,1.24150,0.41099,0.82534,0.68835
1982-09-30,257.94376,221.62404,77310.51600,0.44431,3.44698,282.51144,0.60979,1.32474,0.16821,0.37755,0.48447,0.53281
1982-10-31,237.90005,173.86232,77388.55500,0.35086,5.30618,277.73254,0.67477,1.59594,6.91495,0.43733,0.63468,0.84687
1982-11-30,226.07721,119.53637,76890.73400,0.28548,6.73392,272.20715,1.90912,2.43993,48.77482,0.50927,1.46983,0.84350
1982-12-31,220.95644,96.75985,77192.37000,0.30604,4.70482,270.56613,1.38363,1.44067,208.54820,0.48487,1.26919,0.77106
1983-01-31,227.01082,105.73792,77158.64000,0.30237,5.86611,272.41724,1.42291,2.18155,326.30292,0.47513,1.22431,0.71420
1983-02-28,239.47060,139.57869,76842.16000,0.34103,7.16895,271.43665,2.67394,3.75199,464.39774,0.47686,1.29158,0.89755
1983-03-31,242.33264,186.63193,76518.76600,0.34189,6.87651,271.60490,3.16229,3.29622,626.35160,0.46981,1.69603,1.42366
