indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,265.55103,173.98589,85094.51600,0.39047,1.07100,284.18927,-0.08485,0.41976,0.14797,0.43680,0.16240,0.39499
1980-11-30,255.22880,113.89088,85229.55000,0.35949,1.08954,278.84528,0.21689,0.72582,0.14466,0.43952,0.13224,0.39575
1980-12-31,247.76768,92.43680,85112.47000,0.37026,5.38207,276.60730,-0.08107,1.19300,1.92776,0.44902,0.58892,0.98455
1981-01-31,254.91217,97.86001,84839.33000,0.39141,7.20470,275.96207,-0.05554,1.92446,10.60972,0.57010,0.80100,1.10794
1981-02-28,251.82216,133.54723,84953.90000,0.39438,3.25726,275.75910,0.19168,1.36018,113.94731,0.63399,2.04946,1.69004
1981-03-31,256.97174,181.56550,84624.74000,0.40291,4.99440,276.40878,0.84051,0.98099,59.77359,0.67645,2.69474,1.71402
1981-04-30,261.76794,266.67770,84831.30000,0.49523,1.47300,281.13810,1.03004,0.46943,46.18607,0.70298,2.01017,1.67888
1981-05-31,278.37125,301.61380,84686.29000,0.58408,1.76638,283.92078,1.71312,-0.03761,6.96528,0.66495,1.10521,1.18232
1981-06-30,294.05790,332.38380,84945.08600,0.67629,0.07153,289.94382,1.65778,-0.08747,0.85894,0.62324,0.59776,0.51668
1981-07-31,289.23123,348.07584,84960.81000,0.57493,0.00088,291.92710,1.75008,1.07735,0.08414,0.53978,0.33604,0.37460
1981-08-31,294.66226,309.78033,84915.37000,0.51908,0.00621,293.18906,1.69988,1.44134,0.02160,0.47167,0.22592,0.32095
1981-09-30,292.70068,233.69774,84959.17000,0.49694,1.28187,289.52060,1.50679,0.70131,0.00000,0.42102,0.16821,0.33844
1981-10-31,268.61810,153.85118,84804.62000,0.45860,5.36802,280.92610,0.45919,0.88061,0.00000,0.42259,0.21115,0.61948
1981-11-30,274.09888,99.01700,84787.56000,0.48823,14.86289,278.06027,0.85105,2.86999,2.34646,0.54181,5.28134,5.40142
1981-12-31,275.01492,71.69888,84864.81000,0.45155,9.75262,276.08606,1.97589,2.77775,22.51448,0.71761,6.21220,5.58926
1982-01-31,237.36055,99.76390,84752.01000,0.29919,4.89878,271.65192,0.65561,1.05828,50.59261,0.74573,3.09508,2.76014
1982-02-28,252.96861,130.88043,84921.26600,0.41124,5.63039,275.37802,0.45828,1.51139,140.88744,0.70182,5.47518,5.34820
1982-03-31,262.42804,172.43312,84374.71000,0.38967,8.32675,274.75363,1.47680,2.95622,50.64599,0.74488,4.38597,3.72227
