indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,237.39905,190.12857,77909.43000,0.29716,0.72365,282.07242,0.54579,-0.83546,118.37710,0.47719,0.47942,0.18294
1980-11-30,219.03267,131.60368,77958.65000,0.22132,0.62752,278.27010,0.75112,-0.73579,118.39292,0.47224,0.31671,0.18388
1980-12-31,215.42244,107.37161,77837.15000,0.24386,2.78413,275.73825,0.26177,-0.32198,124.26305,0.46893,0.26765,0.25076
1981-01-31,227.76367,109.68182,77546.34000,0.28728,6.96984,273.80334,-0.00306,0.57986,178.07097,0.48891,0.24497,0.27340
1981-02-28,221.49855,147.72210,77545.17000,0.27614,1.99053,273.97530,0.47703,-0.07064,337.38394,0.53070,0.39960,0.51124
1981-03-31,230.76225,194.81856,77208.29000,0.34150,5.70554,272.81550,0.57086,-0.12255,358.16785,0.54392,0.89589,0.68877
1981-04-30,229.09023,270.38358,77474.61000,0.35646,1.75494,277.79404,0.58129,-0.39144,464.18396,0.56551,1.18348,2.05951
1981-05-31,245.82060,296.87840,77362.99000,0.42002,1.26018,280.18863,1.23938,-1.04428,418.28406,0.58945,3.63447,3.41049
1981-06-30,263.72748,332.29782,77769.98000,0.42717,0.00015,287.74700,1.21449,-1.02002,250.13052,0.61644,4.18612,2.19282
1981-07-31,261.89468,326.60416,77812.73000,0.33716,0.00133,289.00537,0.85711,-0.05721,136.19759,0.53930,1.49758,0.40269
1981-08-31,268.50415,293.91757,77851.78000,0.37718,0.04058,289.63617,0.65052,-0.13572,101.55177,0.48688,1.05565,0.14864
1981-09-30,264.60507,245.09045,77807.27000,0.41009,0.05968,286.09015,0.56245,-0.43748,72.92605,0.45752,0.66422,0.12628
1981-10-31,233.55528,173.60669,77514.19500,0.30508,2.89977,277.66710,0.73218,-0.42185,58.77156,0.44133,0.29443,0.18342
1981-11-30,240.24599,115.55087,77642.56000,0.36298,4.99618,276.47565,0.39783,0.66405,99.54744,0.46940,0.28761,0.58802
1981-12-31,229.77783,97.52508,77656.14000,0.31477,4.35807,274.73163,1.22142,-0.26995,169.22011,0.52862,0.47147,0.54647
1982-01-31,211.91545,114.53191,77450.02000,0.25851,8.13965,271.47064,1.09101,-0.09464,244.87045,0.56035,1.14834,0.99741
1982-02-28,221.47319,149.29921,77527.73000,0.31554,4.13304,273.83597,0.66857,-0.15119,455.88495,0.56306,1.69434,1.43546
1982-03-31,229.26892,186.76575,77077.01600,0.32417,9.17344,271.82288,0.50211,1.20620,487.18393,0.58527,2.09229,1.76316
1982-04-30,225.93526,255.48990,77399.87000,0.34347,8.30128,275.14795,0.92709,-0.05566,687.67804,0.58281,4.14523,5.43094
1982-05-31,235.09767,316.43300,77345.52000,0.41222,0.39738,280.41647,0.76141,-0.74797,738.03760,0.61523,4.49956,6.95979
1982-06-30,255.82259,317.15800,77475.23000,0.46668,1.41590,282.97626,0.72689,-0.56927,545.39320,0.62141,7.04865,6.17519
1982-07-31,269.79600,319.62720,77820.33000,0.48549,0.19628,287.51822,0.56600,-0.10314,324.70093,0.60759,5.10067,3.67307
1982-08-31,275.22540,284.67142,77914.84000,0.46020,0.39390,288.07996,0.39799,0.45162,167.30133,0.55077,3.10283,1.32779
1982-09-30,262.52570,231.22580,77592.35000,0.44476,4.91698,283.73483,0.67802,0.21156,92.71464,0.50527,1.41939,1.89827
1982-10-31,241.00665,176.97746,77736.37500,0.35805,4.11808,279.12700,0.48722,-0.26989,87.23121,0.57961,1.35043,1.25234
1982-11-30,225.09427,121.19034,77308.21000,0.28474,9.51914,273.78415,0.38338,0.48483,133.55508,0.59262,1.45394,1.45316
1982-12-31,216.24992,100.52531,77382.29000,0.27096,7.67408,272.03906,0.92936,-0.75232,344.69296,0.60309,2.41992,2.02619
1983-01-31,219.08772,112.13464,77440.01000,0.27672,8.60466,272.92963,0.21359,0.26710,521.25385,0.59250,1.96526,1.94136
1983-02-28,237.07850,136.37906,77181.32000,0.33899,9.43550,272.69907,0.39476,0.89558,719.53120,0.59189,2.38878,2.47332
1983-03-31,238.67511,189.43896,76958.87000,0.37528,10.78045,272.72272,0.84529,0.52179,904.17420,0.59019,3.28741,3.27851
