indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,237.11868,197.39229,78782.78000,0.27412,0.24341,282.97780,0.41976,-0.71589,10.71253,0.39691,0.29878,0.20070
1980-11-30,218.32278,143.17172,78840.77000,0.22253,0.09914,278.53067,0.58693,-1.00334,10.84883,0.39310,0.22212,0.18612
1980-12-31,217.09456,115.90362,78735.30000,0.22848,1.33907,276.62762,0.14208,-0.82440,11.93633,0.38834,0.17856,0.21187
1981-01-31,230.58426,116.89377,78497.99000,0.29952,3.54081,274.59110,0.38966,0.25969,25.19061,0.40875,0.14981,0.19138
1981-02-28,220.74034,158.01389,78498.36000,0.27380,1.49121,275.07846,0.67013,-0.29671,108.37851,0.42762,0.19342,0.26433
1981-03-31,229.95941,208.44582,78151.40000,0.33736,3.40387,274.19467,1.56754,-0.04848,92.98857,0.46619,0.44426,0.31981
1981-04-30,229.91573,277.96270,78380.78000,0.31735,0.69460,279.63986,1.46360,-0.29805,124.01097,0.49522,0.82249,0.51680
1981-05-31,246.28409,308.23178,78236.47000,0.38250,0.46192,282.11188,2.66038,-0.80844,72.69070,0.50328,1.11414,0.67233
1981-06-30,266.50388,344.05273,78616.67000,0.38335,0.00000,289.54636,2.21066,-0.77559,36.34618,0.48109,0.98506,0.50265
1981-07-31,268.89313,335.93590,78697.94500,0.35261,0.00032,290.77625,2.11319,0.57546,12.69252,0.43513,0.43935,0.18870
1981-08-31,276.07202,303.44806,78718.94000,0.38273,0.07527,291.33075,1.38377,0.62161,10.11781,0.39963,0.33499,0.11566
1981-09-30,270.72733,252.40771,78690.76000,0.40778,0.12650,287.79898,1.38482,0.11996,7.76405,0.37818,0.25968,0.09377
1981-10-31,233.61177,184.80249,78422.85000,0.30765,1.17987,279.09410,1.25195,-0.48458,6.38456,0.36960,0.19563,0.10397
1981-11-30,237.01710,132.68909,78560.38000,0.33818,1.43698,277.62450,1.31178,0.18265,13.57176,0.38434,0.14980,0.14123
1981-12-31,225.78186,112.76836,78545.23400,0.29449,1.43183,275.72104,2.14231,-1.00594,40.12146,0.39215,0.12735,0.15895
1982-01-31,211.37271,124.97551,78364.73400,0.24645,4.62311,272.49597,1.62515,-0.55874,45.76323,0.42173,0.13521,0.25039
1982-02-28,222.30280,161.46687,78464.54000,0.29466,1.31188,274.86370,1.23187,-0.63086,151.14288,0.44941,0.32870,0.40585
1982-03-31,232.47667,194.20784,78029.70000,0.31821,4.27214,273.30353,1.98966,1.16204,127.58695,0.48212,0.59089,0.52852
1982-04-30,226.15740,266.12097,78304.02000,0.30761,2.67134,277.01486,2.35963,-0.45346,181.25658,0.51128,1.57157,1.55250
1982-05-31,238.14273,326.55792,78205.72000,0.35621,0.09863,282.33096,1.76472,-0.34649,155.56905,0.52279,1.86734,1.87372
1982-06-30,255.11407,334.11295,78304.87000,0.38544,0.76457,284.84160,2.20410,-0.12552,86.32076,0.49478,1.62839,1.49120
1982-07-31,276.36578,328.25385,78681.53000,0.45662,0.06120,289.41260,1.62458,0.58967,43.58023,0.46961,1.01402,0.92280
1982-08-31,282.43317,292.99260,78798.11000,0.46075,0.10096,289.93787,0.97739,1.20598,17.33616,0.43059,0.67329,0.43014
1982-09-30,268.74300,242.51271,78489.00000,0.45342,2.54460,285.62122,1.53945,0.99193,9.46071,0.40179,0.39567,0.46362
1982-10-31,243.22623,183.18921,78639.23400,0.32380,1.52506,280.61475,0.87998,-0.42961,10.94192,0.45020,0.38793,0.33393
1982-11-30,226.47480,132.70024,78249.60000,0.28446,4.85539,274.70650,0.90339,0.27104,26.13221,0.45307,0.35008,0.42261
1982-12-31,216.37932,110.58857,78294.73000,0.26571,3.79850,272.97287,1.24084,-1.35608,117.83079,0.47890,0.57035,0.54564
1983-01-31,220.63420,121.40617,78379.15000,0.26838,5.34030,273.61075,0.34557,-0.24145,195.11673,0.49744,0.73176,0.59971
1983-02-28,237.76216,145.77228,78148.62500,0.34144,6.35822,273.99597,1.65191,0.17145,304.41590,0.51815,1.34555,0.99388
1983-03-31,236.50166,208.15993,77893.33000,0.37896,6.33228,274.12598,2.79934,0.07351,392.17820,0.54602,2.68735,1.68411
1983-04-30,229.69824,250.80673,77959.89000,0.31687,1.57044,274.37076,1.75474,0.28880,462.12717,0.55013,1.82834,1.39383
1983-05-31,235.01616,319.97562,78341.69500,0.34018,0.41258,281.37262,1.75531,-0.84725,425.77267,0.53997,3.32348,3.45056
1983-06-30,250.56969,348.72357,78335.50000,0.39119,0.02552,285.74680,2.20621,-0.21737,260.18440,0.55584,5.38825,4.34055
1983-07-31,260.05844,337.44740,78652.45000,0.37712,0.00000,288.45618,1.48476,1.32510,96.29846,0.50356,2.66200,2.11273
1983-08-31,289.15826,284.40805,78836.94500,0.55742,1.58445,289.01718,0.66074,1.75632,27.39051,0.45235,1.22714,1.13025
1983-09-30,275.18442,249.81302,78620.93000,0.48710,0.77731,287.75217,1.13791,0.97447,11.78885,0.44595,0.52750,0.46779
1983-10-31,247.62799,189.59305,78656.61000,0.41676,0.47350,281.83655,0.01519,-0.01741,15.32850,0.43206,0.36353,0.34577
1983-11-30,245.77994,121.20479,78355.47000,0.37793,5.16366,276.14572,2.59607,-0.27727,10.13952,0.43217,0.34600,0.50538
1983-12-31,232.86935,103.71328,78324.48000,0.35702,4.89948,274.15620,3.17959,-0.71330,86.72415,0.48853,0.89099,0.69375
1984-01-31,214.42357,128.73358,78808.46000,0.26928,0.05752,275.44482,-0.18855,-1.57467,157.95220,0.52454,0.77443,0.50985
1984-02-29,211.39832,163.91765,78507.30500,0.24106,1.72061,274.35810,0.76942,-0.88081,141.14548,0.50544,0.72416,0.42870
1984-03-31,223.02670,225.64214,78419.27000,0.30249,0.80621,277.27042,2.02294,-1.34502,155.73392,0.50563,0.98494,0.57197
1984-04-30,221.49281,273.55470,78153.69000,0.27397,0.64272,276.95264,2.29041,-0.98178,121.62959,0.50734,1.04954,0.67144
1984-05-31,252.15572,327.43924,78546.01600,0.36066,0.02106,285.71185,2.03941,-0.70100,104.59628,0.48889,1.22747,1.18023
1984-06-30,261.24945,339.10782,78423.79000,0.39988,0.25754,286.52880,2.54379,-0.29046,47.04432,0.46937,1.37907,0.69283
1984-07-31,298.58210,320.05200,78715.87000,0.57946,1.73763,291.16780,0.48647,0.91844,15.68475,0.43166,0.61176,0.53646
1984-08-31,291.47412,289.22830,78771.38000,0.57757,0.80889,290.35178,0.76463,1.19097,11.19006,0.42614,0.36343,0.33808
1984-09-30,275.61150,252.48407,78624.15000,0.50049,0.04720,288.25345,0.82724,0.90562,10.24427,0.40739,0.28181,0.20576
1984-10-31,234.04297,189.13826,78389.95000,0.33122,0.92029,278.89970,1.86153,-0.97966,9.70350,0.38898,0.21453,0.19485
1984-11-30,231.96053,130.86137,78396.45000,0.30544,4.55667,274.69125,1.60512,0.16977,13.05842,0.40078,0.17914,0.25712
1984-12-31,221.60860,106.60555,78100.05000,0.27614,1.99239,271.15050,-0.01871,0.03266,110.53898,0.42992,0.18520,0.26257
1985-01-31,210.00550,125.53973,78578.48400,0.25143,1.40435,272.67325,-0.16680,-1.16532,151.31306,0.44120,0.20871,0.27182
1985-02-28,213.89523,166.92915,78413.91400,0.27151,1.89457,273.98813,0.63837,-0.94606,169.21126,0.45149,0.31642,0.30307
1985-03-31,219.72989,206.29158,78181.01000,0.27759,2.62453,273.30762,2.21702,-0.10591,178.70267,0.47135,0.67844,0.36191
1985-04-30,229.45227,284.87634,78466.86000,0.32515,0.07496,280.68616,1.13314,-0.83277,190.97745,0.49160,1.42609,1.02213
1985-05-31,237.54086,326.64026,78312.69500,0.32956,0.02338,282.52988,2.18690,0.42867,94.38770,0.50764,1.65205,1.09134
1985-06-30,266.14136,343.42822,78605.04000,0.36982,0.20873,289.22296,1.68510,-0.01244,37.02367,0.47547,1.13537,0.76710
1985-07-31,288.76038,325.28830,78819.76000,0.46515,0.22128,291.50076,1.54797,0.33414,13.08860,0.43375,0.52368,0.28512
1985-08-31,267.26760,303.57193,78746.19000,0.36560,0.00016,289.65137,1.88847,0.65171,10.34092,0.40175,0.32094,0.17285
1985-09-30,255.41463,247.98865,78445.97000,0.40165,0.51080,283.46075,1.54275,0.67830,9.33596,0.37852,0.24028,0.12853
1985-10-31,240.62560,185.87585,78495.76000,0.30865,0.28981,281.11320,0.46302,-0.05170,9.34281,0.37789,0.18145,0.11910
1985-11-30,231.87668,128.13399,78204.08000,0.30541,4.30791,275.02368,2.56505,-0.16117,10.09885,0.37534,0.14727,0.16259
1985-12-31,217.92378,115.55250,78827.44500,0.27502,1.90862,275.10635,0.03446,-1.08511,96.18597,0.41001,0.20903,0.23488
1986-01-31,230.08727,124.53423,78806.48400,0.32133,3.39341,276.91953,0.18702,0.10532,107.80319,0.44239,0.47874,0.29478
1986-02-28,233.90240,153.79527,78354.15000,0.37231,9.58120,275.07123,2.03813,-0.21964,142.53171,0.47768,2.54378,1.17747
1986-03-31,235.96011,211.42786,78438.52000,0.37274,5.00132,277.30707,1.21274,0.21878,266.43948,0.51967,2.22762,1.45282
1986-04-30,229.45960,279.22113,78295.25000,0.33728,0.84968,278.26530,1.69524,-0.14228,296.70380,0.53896,2.05772,1.52010
1986-05-31,242.12186,326.87683,78298.66000,0.34214,0.13246,283.01913,2.17265,-0.34863,228.15723,0.53019,2.83145,2.10246
1986-06-30,260.47864,348.45786,78590.00000,0.39168,0.00217,288.37527,1.85561,0.31698,121.22655,0.50667,2.62696,1.91631
1986-07-31,273.11160,330.33142,78751.02000,0.42735,0.17322,288.99414,1.58804,1.15240,43.77945,0.46040,1.58094,0.79628
1986-08-31,282.72450,293.85046,78775.52000,0.44330,0.02628,290.95750,1.39380,1.03932,11.84370,0.42144,0.50415,0.34147
1986-09-30,246.60281,248.94037,78383.82000,0.35145,1.00433,282.82565,2.16495,0.42260,10.46228,0.39287,0.32359,0.18573
1986-10-31,233.07573,194.69780,78576.89000,0.30352,0.13673,280.38070,0.12597,-0.49059,16.05608,0.40260,0.23822,0.23901
1986-11-30,220.51065,142.46327,78725.50000,0.28368,0.53093,277.66562,0.47466,-1.19047,10.84531,0.39891,0.19501,0.17890
1986-12-31,223.00993,109.84338,78560.32000,0.26238,0.61538,273.86194,-0.09263,-0.42867,12.21457,0.40518,0.16646,0.16785
1987-01-31,212.54985,123.01302,78373.27000,0.23132,2.29927,272.12582,1.01906,-0.87166,18.72937,0.41161,0.14733,0.17643
1987-02-28,216.11963,155.91931,78199.81000,0.24781,3.27743,272.95108,0.56204,-0.68368,55.02911,0.43710,0.28447,0.22399
1987-03-31,222.45117,210.07068,78167.29000,0.28613,2.95244,274.32602,1.56531,-0.42501,89.45699,0.46976,0.52975,0.27413
1987-04-30,232.75702,282.97458,78489.12500,0.29672,0.47165,281.10570,0.54852,0.27784,109.14805,0.49304,1.00443,0.42365
1987-05-31,251.32750,315.73538,78318.32000,0.39368,0.60531,282.44666,1.25499,0.01199,40.75729,0.50393,1.14472,0.53893
1987-06-30,261.11115,345.20425,78614.62500,0.37300,0.30630,287.86548,0.92156,0.52984,19.51946,0.46796,0.60105,0.44388
1987-07-31,261.56625,336.33582,78437.09000,0.37097,0.01321,287.99783,1.75435,1.16514,12.04391,0.42985,0.37959,0.19623
1987-08-31,278.03992,300.34510,78738.34000,0.40286,0.01014,290.15997,1.05275,0.98866,10.55785,0.39792,0.29100,0.09929
1987-09-30,256.89572,256.65310,78725.12000,0.31438,0.03917,287.04236,0.79428,-0.26816,9.07037,0.37605,0.22471,0.07767
1987-10-31,254.24176,180.19386,78747.28000,0.37748,0.78397,283.12732,-0.71233,0.84922,8.45214,0.36692,0.17332,0.08733
1987-11-30,227.59346,134.84164,78551.75000,0.33093,1.39138,276.17180,0.30726,-0.59131,11.17559,0.37642,0.14084,0.10291
1987-12-31,218.36485,107.71874,78227.66400,0.26653,2.58744,270.81830,0.99017,-0.58206,18.22754,0.40272,0.12992,0.11255
1988-01-31,220.90305,121.00633,78527.97000,0.24999,3.71431,273.45120,1.06979,-0.77922,73.32507,0.42100,0.17268,0.15917
1988-02-29,212.53055,166.38788,78722.80500,0.24303,0.53546,276.35312,-0.84786,-0.82871,146.82130,0.44667,0.38518,0.14722
1988-03-31,207.84128,236.94798,78575.10000,0.25551,0.65842,276.52344,1.11843,-1.47157,105.13057,0.47017,0.52878,0.21039
1988-04-30,233.77962,264.65125,78250.35000,0.31176,2.03735,278.42032,1.54039,0.36431,75.67474,0.47725,0.81579,0.29931
1988-05-31,238.33893,320.07715,78411.94500,0.32734,0.65644,281.68237,2.24310,-0.28703,60.12567,0.49997,0.81007,0.42536
1988-06-30,260.49570,338.21170,78499.23000,0.39316,0.41254,286.18515,0.64018,0.94598,38.79803,0.47580,0.92993,0.31774
1988-07-31,284.92520,329.96512,78819.94000,0.48028,0.10390,291.77863,1.20378,0.30231,12.27479,0.44399,0.53172,0.14645
1988-08-31,285.26318,295.01710,78632.99000,0.49930,0.83355,290.12552,0.58796,0.99046,8.72537,0.40331,0.33225,0.10128
1988-09-30,257.64813,258.70930,78635.73000,0.34486,0.07772,287.12958,0.22685,0.18826,7.41498,0.39873,0.24977,0.08385
1988-10-31,244.25851,197.43764,78806.80000,0.29850,0.00003,285.23210,-0.00749,0.40071,7.07122,0.38137,0.19107,0.06544
1988-11-30,231.30782,133.78171,78515.69000,0.32043,2.34277,276.78598,2.61956,-1.04148,7.04203,0.37147,0.15403,0.07635
1988-12-31,217.38536,107.70410,78534.21000,0.23754,3.73147,272.65164,0.45886,-0.83080,49.68365,0.39115,0.13312,0.10810
1989-01-31,200.70027,130.30258,78622.73400,0.22653,0.61967,272.44092,0.03625,-1.53827,137.13791,0.41262,0.14539,0.11379
1989-02-28,217.10094,157.69500,78404.74000,0.26454,2.55967,272.10385,1.68363,-0.22291,126.09048,0.43016,0.26778,0.18541
1989-03-31,237.67714,213.35144,78370.12000,0.33400,2.39081,277.39648,2.87970,-0.39729,146.83012,0.45849,0.94868,0.47396
1989-04-30,237.10431,285.48172,78510.41000,0.30592,0.34188,282.38373,2.06733,-0.49856,115.29695,0.49666,1.38002,0.69052
1989-05-31,239.97292,324.54706,78364.30000,0.32311,0.58159,282.19410,2.64115,-0.36757,52.98042,0.49058,0.83438,0.51673
1989-06-30,257.05185,347.91037,78491.75000,0.36511,0.00294,287.04092,2.12098,-0.07113,36.97361,0.46240,1.01598,0.37045
1989-07-31,273.55453,332.57820,78805.07000,0.36197,0.00049,291.12964,1.84946,0.49408,8.70622,0.42584,0.44350,0.16381
1989-08-31,266.58660,299.24554,78577.36000,0.39474,0.03561,288.72928,1.50731,1.22592,6.81732,0.39142,0.30181,0.09085
