indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,259.20710,186.92583,84505.61000,0.37625,0.60297,285.23550,0.35228,-0.28334,13.51418,0.44747,0.11334,0.14204
1980-11-30,240.11273,129.86208,84611.14000,0.29173,0.77513,280.35443,0.66696,-0.27730,13.69606,0.44394,0.06594,0.08528
1980-12-31,235.59665,105.76247,84565.05000,0.31582,2.73304,278.31330,-0.11801,0.39145,16.62024,0.44704,0.06197,0.13943
1981-01-31,249.10000,105.59049,84295.62000,0.35536,8.09167,276.89536,0.17030,1.49797,48.45802,0.48510,0.06662,0.31014
1981-02-28,245.96623,139.07490,84320.26000,0.36734,2.50517,276.86575,0.55929,0.52122,173.69128,0.59123,0.66101,0.43073
1981-03-31,252.82692,189.88347,84029.64000,0.41690,5.69850,276.30466,0.84459,0.50229,174.90990,0.61606,1.62439,0.75638
1981-04-30,255.59229,268.07797,84211.62500,0.46172,1.47741,281.27206,0.96876,0.16201,229.68658,0.64448,1.82638,1.82517
1981-05-31,269.70996,306.11460,84050.43000,0.51077,0.70113,283.91397,1.80561,-0.55772,171.91402,0.62904,2.97869,2.29956
1981-06-30,289.34534,346.32205,84284.75000,0.53327,0.01719,291.13720,1.59220,-0.62924,77.44444,0.58302,2.48247,1.03071
1981-07-31,287.52853,342.46630,84360.05500,0.44790,0.00282,292.67844,1.21827,0.45166,14.70712,0.51225,0.34932,0.23166
1981-08-31,293.47412,311.02350,84348.12500,0.46117,0.02502,293.14554,0.85142,0.23278,7.55950,0.46310,0.17789,0.06675
1981-09-30,289.20800,244.09839,84353.74000,0.48149,0.27513,289.49750,1.06377,-0.11179,3.25533,0.42935,0.08774,0.07526
1981-10-31,255.98177,170.50911,84199.77000,0.38207,3.70993,281.19058,0.75277,0.30587,2.32950,0.41550,0.04586,0.08311
1981-11-30,263.21030,106.59170,84301.53000,0.45109,7.06340,278.67572,0.71870,1.95012,25.47390,0.47709,0.54577,0.75033
1981-12-31,255.71353,90.64446,84403.53000,0.41391,6.59927,276.95642,1.48124,0.89967,62.98987,0.60795,1.37924,0.92086
1982-01-31,229.89426,111.30050,84211.02000,0.30642,8.48112,273.28873,0.88751,0.77556,132.45483,0.66230,3.06606,1.95553
1982-02-28,244.43219,139.55296,84299.05000,0.39423,5.88934,276.50342,1.16825,0.41535,301.17007,0.65184,5.41763,3.24823
1982-03-31,253.16428,182.47640,83882.36000,0.40335,9.78193,275.07297,1.19421,2.55960,276.76100,0.66074,3.70496,2.74261
1982-04-30,254.29349,246.41232,84212.37500,0.44690,6.51788,278.59662,1.32519,1.22766,402.44183,0.67606,6.31745,6.41570
1982-05-31,259.23358,328.36282,84022.83600,0.53328,0.63586,284.15620,0.93496,-0.28647,381.14750,0.64986,4.09326,6.05628
1982-06-30,281.39743,328.80896,84127.45000,0.60041,1.82400,286.46033,1.11729,-0.10185,254.19304,0.60076,4.16979,3.93431
1982-07-31,295.40747,335.49830,84401.47000,0.61613,0.06401,291.05756,0.95846,0.24658,141.01591,0.57938,3.01394,1.78266
1982-08-31,299.48760,302.36280,84482.94000,0.58920,0.18898,291.54666,0.68268,0.85917,49.24738,0.51408,1.71091,0.52834
1982-09-30,283.11710,226.44139,84157.72000,0.52151,2.75354,286.79703,1.05387,0.61688,7.15881,0.47464,0.29404,0.46276
1982-10-31,261.46216,173.19592,84361.47000,0.41556,4.90689,281.97885,0.62241,0.45238,4.85565,0.51331,0.38006,0.74306
1982-11-30,244.08700,117.01276,83997.37500,0.34140,8.72727,275.87177,0.83080,1.47182,27.66339,0.58909,1.18062,1.25887
1982-12-31,234.02720,97.74764,84149.04000,0.32377,6.40050,274.25745,0.56368,-0.07164,142.13582,0.66468,3.69630,2.17634
1983-01-31,241.02795,106.31718,84190.48400,0.34378,8.49383,275.42242,-0.00282,1.23535,224.40411,0.65295,3.10486,2.68716
1983-02-28,260.50668,126.70536,83917.28000,0.41483,9.85603,275.46170,0.95571,2.36198,346.52408,0.67292,4.80729,3.71775
1983-03-31,266.01505,178.58824,83741.08600,0.45894,11.34230,275.80777,1.38663,2.17748,453.68423,0.67656,6.64090,5.35318
1983-04-30,255.08884,236.61287,83818.75000,0.40512,5.07393,276.19168,0.70091,1.18075,563.19290,0.66812,2.44778,2.95418
1983-05-31,260.94580,320.63030,84201.38000,0.54419,0.80682,283.51465,1.04441,-0.60796,586.76080,0.66995,3.59838,5.53518
1983-06-30,274.87415,339.42004,84085.87000,0.58183,0.32472,286.82930,1.40427,-0.03678,454.10650,0.63429,6.83110,9.81558
1983-07-31,277.41208,339.93488,84315.82000,0.53376,0.00069,288.98390,1.09796,1.06844,244.83678,0.58264,5.49749,5.09183
1983-08-31,305.23047,290.06860,84459.45000,0.64634,0.62990,290.58460,0.63447,1.25951,70.65702,0.53039,2.51279,1.40519
1983-09-30,289.74686,240.62306,84231.94500,0.56230,1.57245,289.08246,0.84907,1.06363,11.52167,0.49193,0.37839,0.43434
1983-10-31,267.77344,179.94633,84374.01000,0.47692,0.94982,284.34950,0.43652,0.11812,9.78743,0.49034,0.24484,0.41178
1983-11-30,268.13388,101.43955,84118.54000,0.44903,11.12969,276.96820,1.58019,1.67515,7.75088,0.48379,1.21334,1.71026
1983-12-31,267.23972,79.84314,84193.62000,0.45642,11.56187,275.54870,2.03016,1.52736,111.75420,0.64620,4.35311,2.95140
1984-01-31,227.84138,119.63911,84588.05500,0.33652,0.25055,276.87518,-0.36365,-0.61852,255.97750,0.68834,2.32025,1.34973
1984-02-29,237.11087,144.22914,84341.58000,0.33903,3.91743,275.91742,0.65860,0.29284,251.78535,0.62272,1.15014,1.25043
1984-03-31,247.56921,205.67838,84239.12000,0.42193,2.44863,278.53778,1.37884,-0.63962,297.64978,0.63330,1.32671,1.40997
1984-04-30,247.02429,261.41208,84045.05500,0.40631,1.53453,278.42380,1.56002,-0.56931,298.70172,0.62339,1.19104,1.92870
1984-05-31,270.94022,324.50876,84295.01000,0.50751,0.40253,286.11893,1.68518,-0.40847,283.36050,0.60130,3.17373,3.83201
1984-06-30,277.81296,334.47820,84124.62000,0.52657,0.85600,287.35114,1.47299,-0.04917,136.57689,0.57833,3.37312,1.71086
1984-07-31,310.68668,331.64493,84317.51000,0.62670,0.31212,293.34442,0.48086,0.22853,51.36914,0.52970,1.91803,0.67574
1984-08-31,309.69540,291.32513,84421.33000,0.60817,0.09558,292.69788,0.87944,0.83022,8.44651,0.47575,0.20921,0.11627
1984-09-30,289.43332,244.69680,84225.85000,0.51006,0.22015,290.35420,1.21359,0.71413,5.31850,0.44062,0.09991,0.00000
1984-10-31,258.29974,171.95518,84196.36000,0.42863,2.56786,280.60626,1.40755,-0.60373,4.31199,0.42278,0.05243,0.12191
