indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,266.99536,163.66301,85477.44000,0.36778,1.17476,283.36212,0.23902,0.55805,0.33523,0.46364,0.08349,0.53235
1980-11-30,257.11430,100.88186,85605.43000,0.34423,0.90073,277.70914,0.62519,0.96560,0.34802,0.47346,0.06740,0.41983
1980-12-31,252.49420,85.40366,85476.52000,0.35571,3.02011,275.54297,0.17875,1.33697,3.12000,0.48275,0.28809,0.58850
1981-01-31,251.63612,97.70858,85153.80500,0.34712,3.22294,274.86930,-0.00348,1.52516,4.56724,0.55560,0.43943,0.70559
1981-02-28,249.91849,141.02576,85329.47000,0.37847,2.41027,274.55390,0.26220,1.37113,40.74680,0.59031,0.69748,0.84917
1981-03-31,259.91107,184.34543,85051.73400,0.39995,2.99066,276.31890,0.82044,0.67799,26.27663,0.62741,0.83874,0.80766
1981-04-30,269.81064,256.35327,85229.64000,0.48498,1.19190,280.49493,1.41730,0.08435,24.65929,0.64820,0.56642,0.79478
1981-05-31,281.36063,298.53668,85104.62500,0.56725,1.97510,283.14800,1.60016,-0.72140,6.49134,0.62628,0.52315,0.60275
1981-06-30,294.65018,317.51263,85354.20000,0.65972,0.38643,288.34677,1.61455,-0.65312,0.74402,0.60376,0.31283,0.52147
1981-07-31,289.27576,343.80237,85344.28000,0.58054,0.03134,291.22770,1.32661,-0.22754,0.38642,0.53974,0.17585,0.43866
1981-08-31,291.33228,305.51532,85253.99000,0.49094,0.00456,292.29138,1.46308,0.60481,0.24034,0.48399,0.11059,0.40561
1981-09-30,285.56204,229.20781,85351.92000,0.45599,1.07384,288.40305,1.01956,-0.05185,0.14223,0.44570,0.07972,0.47166
1981-10-31,274.69702,141.54529,85183.27000,0.44480,3.28695,280.56290,0.48035,0.39857,0.11326,0.45268,0.07393,0.50443
1981-11-30,277.88135,89.41125,85120.13000,0.46835,7.66386,277.68375,0.56402,2.17507,1.58052,0.52098,1.41273,1.37383
1981-12-31,280.72906,64.76990,85171.37500,0.43584,4.92259,275.05228,1.88708,2.36157,13.49934,0.65198,1.61455,1.73755
1982-01-31,239.32076,102.80582,85124.56000,0.28735,2.09339,270.18760,0.91887,0.95949,38.47350,0.69200,1.04881,1.28015
1982-02-28,256.88754,127.37305,85277.41000,0.38486,2.48568,273.75974,0.56132,1.27930,73.49315,0.67798,1.58566,2.12382
1982-03-31,266.21880,170.62202,84685.64000,0.36989,4.14116,274.64130,1.56587,2.12751,33.42020,0.71045,1.54360,1.74560
1982-04-30,258.73233,231.38109,85076.08600,0.38637,2.47280,276.68770,0.99543,1.81172,71.99930,0.70289,1.98908,2.40825
1982-05-31,262.04297,328.62183,85109.61000,0.50106,0.42813,283.22640,0.42729,-1.59588,31.63329,0.69407,0.96800,1.19832
1982-06-30,299.01587,309.43350,85074.12500,0.69454,1.46874,286.81010,1.68831,0.14738,6.00125,0.62417,0.49067,0.75869
1982-07-31,300.17770,331.68942,85335.70000,0.70850,0.62623,290.04135,1.81040,0.20647,1.49683,0.58678,0.27831,0.54832
1982-08-31,300.27190,292.08110,85401.18000,0.60262,0.18182,290.71020,1.73681,0.74845,0.61340,0.52639,0.16862,0.49884
1982-09-30,288.10672,209.78214,85268.04000,0.51176,0.97141,285.57816,0.17053,-0.77647,0.30965,0.48668,0.11183,0.49188
1982-10-31,270.07217,153.89214,85385.30500,0.44484,2.74039,280.75528,0.19920,0.76753,0.26783,0.48438,0.10172,0.54897
1982-11-30,251.47696,97.73061,84933.87500,0.35088,3.55056,274.33975,0.44749,1.39012,2.33179,0.53822,0.33319,0.57298
1982-12-31,249.01517,76.61103,85133.26000,0.34791,3.82745,272.17557,0.38814,1.39051,31.50935,0.58993,0.93497,1.09827
1983-01-31,258.40988,93.55284,85086.30500,0.35726,3.88784,273.79868,0.34761,1.96594,66.24891,0.62739,1.16389,1.34041
1983-02-28,277.60266,115.88895,84669.31000,0.41611,5.69471,275.10504,0.90707,2.97865,82.13049,0.66856,1.93177,2.32538
1983-03-31,287.58182,148.04442,84489.80000,0.44267,6.33090,275.99810,1.79388,2.93286,109.68405,0.69904,2.97748,3.06018
1983-04-30,269.67242,227.93010,84797.76000,0.39168,2.67853,276.59192,0.91611,0.59236,117.38103,0.72606,1.59797,1.76071
1983-05-31,278.41600,311.72775,85185.48000,0.57293,0.81426,283.19025,1.37855,-0.33284,95.49925,0.70971,1.34041,1.40467
1983-06-30,287.07480,321.37286,85097.73000,0.64747,0.70105,286.36902,1.55849,-0.29189,37.19402,0.65991,1.12617,0.99583
1983-07-31,287.89297,330.91156,85295.83000,0.63129,0.16148,288.40714,1.51229,0.49379,11.39885,0.59524,0.44089,0.60865
1983-08-31,307.41260,280.05643,85385.86000,0.66332,0.80371,290.57550,1.57803,1.47327,2.44358,0.53591,0.23784,0.52486
1983-09-30,282.69504,232.18694,85233.48400,0.51405,1.01316,287.26416,0.52425,0.03890,0.79487,0.50359,0.15048,0.54457
1983-10-31,279.99396,155.78375,85360.33600,0.50319,1.41234,282.97620,0.83795,0.79854,0.47494,0.49603,0.10823,0.55984
1983-11-30,279.97632,82.55577,84931.19500,0.44963,6.01915,275.43073,1.57276,2.12371,0.43588,0.50907,0.74183,0.85525
1983-12-31,285.88956,64.11329,84961.83000,0.40832,6.66938,273.02430,1.99044,1.84932,36.30069,0.60792,1.41690,1.68539
1984-01-31,232.98360,104.95280,85784.76600,0.32272,0.25771,273.45306,-1.52831,-0.20000,92.00472,0.68407,0.84505,1.17808
1984-02-29,253.93510,132.17027,85326.47000,0.34837,2.17827,274.35947,0.37416,1.36935,71.53988,0.67178,0.80159,1.01552
1984-03-31,266.41144,180.10802,85261.67000,0.42722,2.04461,277.58472,1.04618,0.60168,76.38855,0.68358,1.01971,1.30408
1984-04-30,270.09848,225.06256,85051.58000,0.41899,1.65122,277.61923,1.83949,0.16200,57.36948,0.68314,0.77238,1.07204
1984-05-31,280.78150,296.72104,85302.29000,0.56704,0.71354,283.54803,1.76159,0.33814,42.93895,0.66479,0.79830,1.06839
1984-06-30,281.02972,321.76560,85203.15000,0.59883,1.33123,286.04846,1.19584,-0.74844,8.38652,0.61838,0.64817,0.75993
1984-07-31,306.35310,336.12740,85353.18000,0.69502,0.26326,292.95944,0.82173,-0.37081,1.97573,0.57198,0.29662,0.50855
1984-08-31,296.03778,296.29376,85289.08600,0.56323,1.05393,290.89865,1.67805,1.41739,0.58687,0.50942,0.15837,0.48812
1984-09-30,276.01290,233.46760,85253.01600,0.45559,0.41457,287.57355,0.56106,-0.01487,0.35476,0.49452,0.10642,0.53089
1984-10-31,269.78880,146.26004,85200.76000,0.43451,2.18721,278.67264,1.59274,0.37398,0.30956,0.46813,0.08182,0.59710
1984-11-30,274.06586,82.49088,84945.44000,0.39590,6.38886,274.32132,1.55542,2.73188,3.08997,0.50926,0.66554,0.88413
1984-12-31,235.04152,89.13964,84978.49000,0.30222,1.08318,271.04490,0.33099,0.71161,52.51347,0.60919,0.45682,0.76835
1985-01-31,227.59506,107.55478,85562.51600,0.28158,0.55284,272.43317,-1.35402,-0.34500,64.14532,0.60817,0.26867,0.65866
1985-02-28,241.56430,145.84554,85347.55000,0.31984,1.35277,273.20517,0.03497,-0.19835,64.51975,0.60885,0.34454,0.73899
1985-03-31,249.37560,185.97545,85020.32000,0.32848,2.04336,274.10062,1.37493,0.55796,54.41497,0.62972,0.40420,0.77397
1985-04-30,262.53326,268.10820,85261.19000,0.47264,0.27911,281.35358,1.24007,0.13988,59.58600,0.64348,0.49074,0.88810
1985-05-31,268.38763,307.96066,85044.78000,0.49670,0.68735,282.81420,1.99553,0.77869,13.02410,0.62626,0.44648,0.59621
