indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,279.33066,165.80421,88449.94000,0.41146,1.33924,285.58510,0.19988,0.44909,0.37284,0.47924,0.16222,0.51406
1980-11-30,267.63504,101.08046,88649.38000,0.37230,1.01805,279.62024,0.49485,0.66548,0.42377,0.49138,0.13096,0.49283
1980-12-31,263.70560,84.99224,88544.73400,0.40286,4.64525,277.48610,-0.00908,1.04697,2.25812,0.50373,0.69925,0.87452
1981-01-31,264.82257,91.79591,88234.23400,0.40713,5.56016,276.84775,-0.30824,1.48235,3.49359,0.62633,1.49691,1.66283
1981-02-28,263.34042,134.67114,88401.62000,0.43333,3.77764,276.81793,0.04549,1.18500,24.90742,0.70907,2.16484,1.72646
1981-03-31,270.80690,184.36896,88104.69000,0.45622,4.38991,278.21620,0.54065,0.73181,16.74067,0.69826,2.40583,2.10709
1981-04-30,280.69528,259.58456,88267.11000,0.55564,1.46188,282.54745,1.23866,-0.01987,13.16448,0.69766,1.23838,1.17250
1981-05-31,293.30810,298.13925,88104.78000,0.63872,2.14886,285.36840,1.50200,-0.79167,4.62746,0.65475,0.88712,0.80256
1981-06-30,309.35318,320.67508,88298.98000,0.74332,0.25489,290.85446,1.50058,-0.86722,1.13036,0.62302,0.57019,0.55364
1981-07-31,303.12378,348.27667,88251.95000,0.64184,0.03610,293.47183,1.11776,-0.13753,0.41386,0.55891,0.36336,0.46792
1981-08-31,303.86487,308.98898,88138.72000,0.52129,0.00365,294.20100,1.23209,0.79163,0.18615,0.51155,0.24507,0.41790
1981-09-30,299.05457,230.90750,88279.74000,0.48923,1.31727,290.60376,0.90015,0.08935,0.01429,0.48032,0.17851,0.43316
1981-10-31,284.46997,144.06075,88190.37000,0.48607,3.97599,282.60370,0.32395,0.39975,0.01138,0.50046,0.17084,0.55543
1981-11-30,289.59940,87.39163,88162.59000,0.52613,10.61765,279.51102,0.18115,2.24023,1.44716,0.58989,3.68039,2.74310
1981-12-31,290.58070,62.68224,88257.01600,0.47940,7.64637,276.72058,1.20550,2.34263,9.72694,0.69993,4.31734,3.61175
1982-01-31,250.24220,97.44381,88252.32000,0.32722,3.28619,272.55440,0.64604,0.72338,17.34188,0.72334,2.44587,2.21972
1982-02-28,267.61835,120.72307,88366.48000,0.43445,4.24910,275.98615,0.26601,1.13356,40.56926,0.70217,3.25693,3.30113
1982-03-31,275.98697,171.14044,87764.69000,0.42243,5.79231,276.47160,0.92664,2.31613,18.86314,0.70086,2.87126,2.89676
1982-04-30,271.10240,231.43721,88133.77000,0.45224,4.18140,278.81808,0.51620,1.95046,41.43863,0.70990,3.98652,3.91678
1982-05-31,275.40643,332.61090,88094.54000,0.58341,0.31064,285.77417,0.48887,-1.57399,21.70266,0.66335,1.37647,1.59487
1982-06-30,312.21950,307.62762,88041.69500,0.77488,1.71192,288.79565,1.35021,0.48325,7.50636,0.59801,0.75279,0.94701
1982-07-31,311.90857,336.99677,88263.12000,0.76608,0.55546,292.03300,1.49794,0.35819,3.18966,0.58711,0.50013,0.64549
1982-08-31,311.95245,295.92596,88314.93000,0.64303,0.17209,292.62250,1.38805,0.91183,1.05943,0.53172,0.32966,0.53744
1982-09-30,299.37470,213.95369,88220.12500,0.54963,1.05635,287.79642,0.19265,-0.88877,0.21792,0.50030,0.22885,0.54936
1982-10-31,282.24630,154.85268,88386.34000,0.48482,3.63648,282.96918,0.03096,0.67001,0.12668,0.50537,0.19937,0.65745
1982-11-30,263.63406,96.62990,87995.55500,0.39405,5.05045,276.42505,0.22689,1.28925,2.08989,0.58399,0.65849,0.96139
1982-12-31,261.17892,74.73756,88231.56000,0.39087,6.10102,274.41540,0.13960,1.18992,16.03165,0.68952,3.35682,2.34627
1983-01-31,269.14310,88.09300,88163.03000,0.40311,6.79800,275.76343,-0.02343,1.83434,31.92587,0.69566,3.52972,3.28719
1983-02-28,289.89760,105.49088,87727.26000,0.47339,9.70077,276.80453,0.23438,3.17319,41.48244,0.72606,5.31601,5.55950
1983-03-31,299.22530,145.03682,87557.81000,0.49826,10.85862,277.64130,0.94005,3.26811,63.23632,0.74474,7.86902,8.02914
1983-04-30,279.27190,229.25781,87871.77000,0.45235,3.84970,278.48224,0.56990,0.84972,70.67455,0.72908,2.92247,3.22227
1983-05-31,290.66193,315.43890,88199.99000,0.67520,1.00020,285.42860,1.08822,-0.08111,62.12244,0.71758,2.24994,2.62658
1983-06-30,299.77335,325.60452,88061.42000,0.72945,0.68874,288.58612,1.41812,-0.22558,32.33123,0.63067,1.47728,1.51253
