indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,272.68094,199.92850,88778.41000,0.40999,0.40635,289.04407,0.95345,-1.27180,0.00000,0.43167,0.04694,0.08757
1980-11-30,247.07380,143.52469,89017.27000,0.33948,0.03853,283.58390,0.69067,-1.26268,0.00000,0.42558,0.03493,0.12660
1980-12-31,244.82098,112.26116,88948.33600,0.32599,1.65404,281.46950,0.22956,-0.79812,0.00000,0.41715,0.03847,0.19166
1981-01-31,263.44870,113.39236,88795.42000,0.43614,3.83787,279.71008,0.14243,0.02198,3.30516,0.45394,0.03553,0.23911
1981-02-28,254.48637,148.56102,88783.87500,0.42784,1.62414,280.22632,0.48147,-0.71875,45.92265,0.51310,0.06061,0.44527
1981-03-31,270.14468,195.53117,88470.32000,0.50323,3.87248,279.70890,0.86630,-0.73487,23.53290,0.56519,0.21127,0.65917
1981-04-30,266.23890,262.82520,88550.92000,0.52702,0.93736,284.71747,1.14412,-1.48925,29.23259,0.63644,0.50628,0.73776
1981-05-31,284.41750,303.80716,88316.73000,0.62371,0.49143,287.45502,2.06364,-1.99656,6.02219,0.61472,0.37292,0.45646
1981-06-30,301.54013,347.61218,88436.91400,0.61349,0.00000,294.37222,1.97648,-2.07069,0.09290,0.55921,0.11234,0.17734
1981-07-31,303.00705,342.97452,88469.16400,0.51981,0.00007,295.62543,1.99447,-1.12168,0.00000,0.48724,0.04326,0.06463
1981-08-31,307.87854,308.06140,88439.97000,0.51814,0.00241,295.93640,1.61705,-1.11288,0.00000,0.43412,0.02628,0.02239
1981-09-30,305.00440,255.99341,88561.87000,0.56727,0.01065,293.02585,1.62679,-1.25680,0.00000,0.39989,0.01929,0.01617
1981-10-31,268.83447,180.49358,88519.51600,0.42962,1.09527,284.48965,1.09829,-0.84898,0.00000,0.38210,0.01600,0.06855
1981-11-30,271.32474,127.52403,88741.83600,0.49260,1.44504,282.38474,0.47120,-0.51444,1.63936,0.39887,0.01313,0.12016
1981-12-31,256.02118,105.79848,88765.97000,0.39686,2.44257,279.89430,0.91413,-1.06621,10.97608,0.41977,0.02130,0.21640
1982-01-31,245.32684,117.62868,88738.69500,0.36491,5.71289,277.17014,0.55193,-0.43577,13.14068,0.47884,0.05596,0.64384
1982-02-28,255.24704,151.18713,88757.27000,0.44936,1.37410,280.03250,0.58755,-0.80386,83.85653,0.57365,0.19630,0.85185
1982-03-31,272.82200,178.34410,88362.51000,0.47099,6.41062,278.63916,0.63111,0.28616,48.68610,0.62128,0.74314,1.33486
1982-04-30,267.09378,246.82747,88573.30000,0.50988,3.54528,282.42250,1.31049,-1.28091,95.47543,0.70649,2.48893,3.16213
1982-05-31,274.38824,326.35605,88265.01000,0.59460,0.01534,287.72357,1.60697,-1.42196,40.85103,0.72286,1.58742,1.56107
1982-06-30,291.62473,334.79645,88291.21000,0.64156,0.53952,289.78882,2.02103,-1.87345,2.08415,0.62909,0.35861,0.71340
1982-07-31,310.53772,332.74545,88490.21000,0.65181,0.00846,294.23210,1.72238,-1.41286,0.02057,0.56008,0.11550,0.27107
1982-08-31,313.89080,297.57092,88555.90000,0.59746,0.01601,294.57500,1.52492,-0.95054,0.00000,0.48724,0.05898,0.12718
1982-09-30,303.27750,237.33290,88370.86000,0.59739,2.77009,290.49045,1.52532,-0.74913,0.00000,0.44522,0.06318,0.17693
1982-10-31,278.31696,181.75154,88695.39000,0.47653,2.28565,285.97043,0.77242,-0.89095,0.00000,0.49513,0.05930,0.29374
1982-11-30,257.92523,130.15051,88471.84000,0.40767,5.71833,279.36212,0.50347,-0.42385,1.94236,0.53027,0.13548,0.81091
1982-12-31,244.22182,106.94202,88547.49000,0.35267,4.61635,277.37260,0.76630,-1.06150,57.04137,0.60371,0.51775,1.77296
1983-01-31,249.12283,117.43660,88662.05000,0.36736,6.40152,277.83313,-0.04142,-0.16214,119.29439,0.67345,1.48424,2.33531
1983-02-28,277.88998,135.47043,88462.86000,0.51046,7.15825,279.60710,0.24108,0.11722,171.51636,0.75111,3.43177,3.76719
1983-03-31,281.89750,190.45572,88224.58600,0.56831,7.72998,279.83823,0.97555,-0.23618,188.33057,0.79899,5.09495,4.76238
1983-04-30,272.69070,228.29926,88276.83000,0.51247,2.30362,280.64820,1.00736,-0.62970,209.40077,0.80044,2.37923,2.80227
1983-05-31,270.58698,317.39578,88429.18000,0.55578,0.76581,286.43854,1.41736,-1.98161,173.86210,0.76759,2.42398,3.35121
1983-06-30,286.91214,348.42970,88273.99000,0.63834,0.01511,290.49530,1.78119,-1.95291,94.18842,0.70298,2.81297,2.92000
1983-07-31,291.58823,344.05765,88466.50000,0.53681,0.00000,292.75455,1.58625,-1.16637,12.60966,0.61263,0.79377,1.14442
1983-08-31,324.47958,288.97226,88615.40000,0.71294,0.59960,294.37770,1.36544,-0.17871,0.04498,0.52763,0.15648,0.46673
1983-09-30,311.95532,251.05908,88446.38000,0.66004,1.01518,293.14023,1.39043,-0.51823,0.00000,0.48649,0.08267,0.27667
1983-10-31,281.02136,191.32088,88644.88000,0.56211,0.53892,287.33307,0.71942,-0.73324,0.14241,0.47419,0.06314,0.30119
1983-11-30,283.50670,112.65151,88575.81000,0.52506,6.68032,280.84717,1.07983,-0.70616,0.00000,0.46382,0.10411,0.80361
1983-12-31,269.59720,95.16483,88620.26000,0.48938,6.44370,278.90740,1.14957,-0.90764,45.04459,0.59536,0.85279,1.68441
1984-01-31,241.53564,127.41736,89062.62500,0.38833,0.10687,280.03900,0.16032,-1.00569,74.60037,0.72172,1.20540,1.00280
