indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,242.80682,188.09389,79989.58000,0.32536,0.66095,282.91312,0.21258,-0.00243,42.56292,0.43096,0.31450,0.21864
1980-11-30,225.08885,130.49458,80040.75000,0.25158,0.70575,278.66430,0.76120,-0.10417,44.48481,0.42571,0.21118,0.18275
1980-12-31,219.62903,105.78308,79922.17000,0.26261,2.54581,276.15878,0.07293,0.30922,49.58805,0.42611,0.17152,0.26940
1981-01-31,233.36931,108.05733,79662.31000,0.30943,6.79600,274.71637,0.36866,1.29555,89.97452,0.45150,0.16089,0.33437
1981-02-28,229.03818,145.42079,79663.54000,0.30958,2.24055,274.70930,0.77327,0.57996,228.13799,0.50871,0.49084,0.57553
1981-03-31,237.97160,195.40860,79369.94000,0.37364,5.38975,274.02853,0.99341,0.52971,238.48071,0.53085,1.00996,0.79968
1981-04-30,238.53683,273.59810,79617.80000,0.39958,1.54414,279.12442,0.79595,0.56036,308.85648,0.56558,1.64001,1.95008
1981-05-31,254.58560,302.48804,79483.70000,0.44870,1.16542,281.64273,1.59385,-0.18282,236.29237,0.58265,3.16223,2.91117
1981-06-30,272.47020,338.46790,79823.64000,0.46844,0.01299,288.94925,1.41839,-0.00706,100.10630,0.57490,2.58748,1.97176
1981-07-31,269.45950,330.37247,79877.04000,0.37306,0.00457,290.21863,1.03041,1.15546,47.55098,0.49008,0.80470,0.47081
1981-08-31,275.70798,299.25128,79889.62500,0.39537,0.02340,290.74652,0.48815,0.87238,34.35623,0.43941,0.52516,0.17429
1981-09-30,272.55050,243.55379,79867.00000,0.43146,0.17047,287.19724,0.61829,0.43553,22.93071,0.40677,0.31182,0.12025
1981-10-31,240.52357,171.99828,79620.54000,0.33377,3.01039,278.81528,0.69607,0.37087,18.95117,0.39087,0.15394,0.17181
1981-11-30,246.85867,112.38851,79719.67000,0.39642,5.82414,276.93690,1.02228,1.89148,53.18061,0.42787,0.35787,0.66660
1981-12-31,238.35927,94.18372,79775.23000,0.35776,5.57001,275.11197,1.96139,0.68774,110.22813,0.51737,0.81686,0.59470
1982-01-31,217.15280,112.48284,79570.06000,0.27606,8.47117,271.70250,1.30284,0.51308,197.60306,0.55814,1.44479,1.09263
1982-02-28,228.35487,146.19385,79650.38000,0.34522,5.23566,274.54004,1.40361,0.51782,397.22000,0.56774,3.12429,2.01663
1982-03-31,236.99164,190.15804,79240.28000,0.35984,9.37141,272.89362,1.36106,2.54002,401.40726,0.59582,2.82154,2.12083
1982-04-30,236.46478,256.93597,79579.41000,0.39420,7.87590,276.42114,1.52606,1.36498,568.19060,0.59640,5.15934,5.80365
1982-05-31,243.95180,322.68478,79474.45000,0.46261,0.42631,281.87848,0.73599,0.03792,578.18380,0.61078,4.35759,6.64656
1982-06-30,265.73270,322.34460,79587.56000,0.53164,1.79900,284.33902,0.72378,0.43591,404.78253,0.59353,6.02663,5.53559
1982-07-31,279.13672,323.80106,79905.56000,0.55256,0.17581,288.83997,0.63275,1.02387,202.03595,0.57931,4.49108,3.40387
1982-08-31,282.93256,290.73825,80002.88000,0.52788,0.30572,289.28186,0.28685,1.75029,72.65983,0.51065,2.06051,1.35955
1982-09-30,268.57834,228.92091,79669.21000,0.48600,3.57512,284.70210,0.79586,1.39300,32.25316,0.46311,0.79541,1.60769
1982-10-31,247.29008,175.07637,79821.56000,0.38524,4.19367,280.00946,0.57273,0.57813,29.74233,0.51777,0.68198,1.15411
1982-11-30,229.90550,119.94012,79391.57000,0.30246,8.95454,274.20690,1.02319,1.51263,68.63178,0.55531,1.17292,1.37798
1982-12-31,219.91356,99.12605,79502.69500,0.28975,7.22990,272.57834,0.78898,-0.20523,249.48637,0.58406,2.27244,1.94169
1983-01-31,225.29794,108.98938,79558.81000,0.30011,8.07132,273.56213,0.37909,0.86660,383.85904,0.59454,2.02660,2.08006
1983-02-28,245.21465,134.24500,79284.92000,0.37327,9.65370,273.48648,1.44710,2.06136,547.07700,0.60141,3.04624,2.75245
1983-03-31,248.02722,188.36270,79103.62000,0.41394,11.25076,273.69037,1.83704,1.70728,710.62130,0.59801,4.39088,3.92068
1983-04-30,240.48402,241.47633,79161.07000,0.36125,4.83726,273.78787,0.62146,1.21377,880.40810,0.60188,2.12471,2.65559
1983-05-31,242.78984,318.40050,79601.83600,0.45276,1.06939,280.89307,0.88724,-0.31419,919.08673,0.60286,3.72804,6.66627
1983-06-30,256.96466,336.40793,79556.87000,0.50760,0.34706,284.67987,1.14058,0.40711,747.98150,0.61907,8.22335,11.04144
1983-07-31,261.33282,330.37100,79825.58600,0.46532,0.00555,287.14755,0.79334,1.94195,439.48267,0.60205,8.73109,6.28627
1983-08-31,288.59600,278.59268,79978.22000,0.57820,0.91374,288.14514,0.17113,2.20707,143.74850,0.54506,4.40007,2.56837
1983-09-30,273.26212,240.26580,79775.56000,0.51472,1.29011,286.81110,0.61382,1.64223,49.62329,0.49091,1.15668,0.87055
1983-10-31,250.61009,182.16394,79848.56000,0.42865,0.96263,282.06964,0.13511,0.51702,42.02238,0.47369,0.50188,0.48620
1983-11-30,255.02960,104.44755,79517.45000,0.41321,9.80211,275.29572,2.03100,1.37940,38.13288,0.47319,0.82087,1.40866
1983-12-31,250.16261,83.71759,79550.51000,0.40847,10.93950,273.74160,2.75424,1.00268,185.25217,0.57421,2.68216,2.07685
1984-01-31,214.78508,118.47763,79958.20000,0.28304,0.16461,275.02158,-0.24848,-0.83416,374.29117,0.62006,1.91025,1.15824
1984-02-29,220.73386,151.00626,79667.44500,0.28453,3.50076,273.92102,0.94646,0.21896,364.46933,0.56840,1.02281,1.05249
1984-03-31,231.35588,210.12064,79621.76000,0.36920,2.43323,276.48804,1.47335,-0.65274,417.80365,0.56815,1.33793,1.48894
1984-04-30,230.68251,267.65588,79407.94500,0.35387,1.52626,276.16208,1.47708,-0.25718,412.37445,0.57308,1.42221,1.92224
1984-05-31,255.77719,322.67584,79783.81000,0.44781,0.29389,284.35754,1.55932,0.16363,388.99838,0.55969,3.52533,4.48111
1984-06-30,263.53653,328.60250,79630.05500,0.47094,0.65131,285.42000,1.32893,0.40489,178.37227,0.57778,4.69674,2.52019
1984-07-31,296.61310,318.33395,79876.80500,0.57931,0.92126,290.99692,-0.00212,0.97676,66.03691,0.50857,1.65421,1.48701
1984-08-31,293.43594,282.39233,79961.08600,0.56794,0.23556,290.34595,0.41744,1.65661,39.45850,0.46304,0.57504,0.61815
1984-09-30,274.41824,242.74458,79794.00000,0.48852,0.26535,287.96490,0.88283,1.44027,32.05169,0.42571,0.32948,0.34173
1984-10-31,242.18488,176.69461,79613.29000,0.38824,2.18885,278.40268,1.38382,-0.46562,29.35330,0.40605,0.18263,0.28470
1984-11-30,246.08298,110.91843,79650.27000,0.35796,6.50660,274.06033,1.18957,1.61803,46.47700,0.43512,0.16488,0.47040
1984-12-31,222.41019,98.22057,79362.66400,0.29598,2.05980,271.45764,0.19502,0.25386,163.95137,0.49553,0.31324,0.37551
1985-01-31,211.58806,118.20001,79820.70000,0.26906,1.08462,272.66770,-0.21402,-0.65635,204.42519,0.50415,0.28296,0.36406
1985-02-28,218.72824,160.68246,79632.13000,0.29804,3.13585,273.89400,0.78413,-0.42579,218.42177,0.50741,0.34752,0.56650
1985-03-31,227.04918,197.42804,79417.81000,0.32253,5.60855,272.93900,1.37721,0.92128,260.44620,0.52809,0.68166,0.77246
1985-04-30,236.73013,280.45180,79750.88000,0.41837,0.60726,280.19330,0.35667,-0.24835,358.32687,0.55485,1.99044,2.40230
1985-05-31,242.13605,325.59372,79566.75000,0.42174,0.06741,281.76886,1.27320,1.13164,237.17213,0.58260,3.63729,2.82155
1985-06-30,272.62772,333.62164,79856.56000,0.50804,0.27379,288.71213,0.56086,0.37985,74.48286,0.55346,1.95850,1.60011
1985-07-31,293.11652,317.31880,80041.42000,0.55500,0.35618,291.15460,0.45669,0.81259,36.99897,0.48411,0.73258,0.50609
1985-08-31,271.72617,297.60596,79960.75000,0.42493,0.00368,289.08292,0.99675,1.59454,28.32049,0.44008,0.36393,0.20260
1985-09-30,262.02606,227.32562,79635.05000,0.43736,1.35112,282.85257,0.80267,0.95193,23.10622,0.40731,0.23821,0.18426
1985-10-31,245.10112,178.67339,79787.12500,0.40082,2.08836,280.70233,0.03654,0.37167,23.19838,0.41603,0.15201,0.21900
1985-11-30,240.96199,113.07465,79433.54000,0.34865,6.07636,274.44177,2.10831,0.75411,34.89745,0.44363,0.15514,0.36265
1985-12-31,219.09967,103.49738,80007.37000,0.27897,4.11253,275.00366,-0.12399,-0.24501,155.80688,0.48757,0.52149,0.62035
1986-01-31,237.90712,111.11402,79954.90000,0.35216,4.07341,277.04004,0.65458,1.71993,207.38365,0.53625,1.05485,0.85585
1986-02-28,237.97145,148.16162,79520.94500,0.38459,19.07727,274.43036,1.76370,1.58061,247.33337,0.56859,5.90699,4.79251
1986-03-31,241.98515,207.56080,79694.42000,0.43510,6.52134,277.14570,0.65678,1.17425,537.68494,0.60541,3.86686,3.90538
1986-04-30,235.27193,278.22067,79524.37000,0.41245,1.39842,277.57090,1.22197,0.54784,575.53880,0.60857,2.41639,3.42199
1986-05-31,246.71555,319.43410,79525.98000,0.42849,0.67705,281.96497,1.05056,0.49846,512.17910,0.59239,3.96891,5.72062
1986-06-30,263.18555,340.24560,79809.51000,0.49490,0.02860,287.33325,0.55229,0.94017,327.92670,0.59242,7.39584,5.61872
1986-07-31,277.18158,322.81195,79949.91400,0.51357,0.26107,288.55905,0.68845,1.23336,86.25538,0.53340,2.97310,2.03607
1986-08-31,286.67496,286.96720,79972.29000,0.51431,0.03588,290.47998,0.47745,1.55500,29.41882,0.46863,0.62656,0.70007
1986-09-30,249.13217,237.07848,79567.88000,0.39950,1.72395,281.69568,1.34326,1.35914,23.63060,0.42682,0.32201,0.30110
1986-10-31,235.72412,186.67429,79788.80000,0.35314,0.11353,280.30600,-0.01152,-0.13501,36.75936,0.43931,0.20876,0.21900
1986-11-30,219.72136,131.80383,79882.50000,0.27262,0.13853,277.28796,0.44352,-0.71439,22.65369,0.43509,0.16943,0.13446
1986-12-31,220.81145,99.49155,79738.17000,0.25094,0.76817,274.04065,0.10932,0.22964,24.44656,0.42712,0.13629,0.13378
1987-01-31,217.90381,111.15639,79658.50000,0.27406,3.07089,271.81332,0.33402,0.00687,33.92111,0.43195,0.12602,0.18968
1987-02-28,218.66328,153.83638,79414.71000,0.28598,5.30450,272.73807,0.32406,0.16127,87.14496,0.46251,0.35994,0.40073
1987-03-31,229.69661,200.09277,79393.39000,0.33927,4.31254,274.04517,1.05313,0.57906,154.61652,0.51560,0.93296,0.60294
1987-04-30,237.44400,282.74240,79705.17000,0.36899,0.84542,280.67210,0.51392,0.79705,198.28036,0.54662,1.33382,1.62483
1987-05-31,258.31610,309.09256,79541.26000,0.45006,1.23219,282.07820,0.45267,0.25333,76.22249,0.59186,2.57069,2.09380
1987-06-30,266.72586,336.96613,79843.76600,0.43949,0.36635,287.63968,0.16139,1.04564,32.13763,0.52795,0.71249,1.14192
1987-07-31,266.12520,329.79083,79645.28000,0.41666,0.02212,287.46765,0.96150,1.54620,25.74558,0.47088,0.42005,0.30422
1987-08-31,279.34020,295.10260,79930.73400,0.42767,0.08589,289.75920,0.42003,1.31936,21.33409,0.42997,0.30244,0.13745
