indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,257.13174,182.93408,84541.69500,0.37067,0.68562,284.88837,0.37043,0.18467,1.53291,0.45973,0.27826,0.14830
1980-11-30,241.80869,126.38716,84625.62500,0.28505,0.95134,279.68230,0.89133,0.42260,1.19294,0.45461,0.16789,0.11955
1980-12-31,236.64565,100.84013,84598.72000,0.31333,2.97316,278.08575,0.15982,1.20721,6.83069,0.46008,0.14482,0.18044
1981-01-31,250.28415,104.57479,84310.75000,0.35639,8.74287,276.39172,0.15857,2.26145,27.30381,0.51552,0.37901,0.62988
1981-02-28,247.36179,147.05440,84406.76000,0.36369,2.65827,276.20633,0.57688,1.20105,163.93163,0.61739,1.02304,0.69216
1981-03-31,255.14772,195.67188,84133.53000,0.42059,6.14075,276.21120,0.72082,0.87381,154.91560,0.64976,2.43338,1.29268
1981-04-30,255.15382,279.39728,84262.23400,0.47103,2.11714,281.22775,0.94216,0.52516,198.00348,0.67778,2.53244,2.66360
1981-05-31,269.84630,315.16486,84097.92000,0.55917,1.38063,283.92358,1.79684,-0.31089,127.35577,0.67530,2.85591,2.58066
1981-06-30,288.10710,345.32740,84335.79000,0.60230,0.00180,290.81076,1.65841,-0.17129,46.15960,0.63105,2.03831,0.92496
1981-07-31,286.27835,340.36884,84421.35000,0.51627,0.03601,292.43033,1.26858,0.80030,1.23057,0.54142,0.46043,0.09860
1981-08-31,291.65204,303.42557,84403.14000,0.49696,0.00528,293.12628,0.91070,0.60096,0.56124,0.47967,0.20916,0.04546
1981-09-30,290.58770,238.76773,84415.10000,0.51380,0.49194,289.70380,1.11035,0.13011,0.15613,0.43844,0.13056,0.07759
1981-10-31,259.87057,164.74847,84251.13000,0.40760,4.32895,281.24432,0.72754,0.82850,0.00000,0.42839,0.09345,0.14940
1981-11-30,267.00890,104.20254,84327.51600,0.45539,9.90837,278.45660,0.78625,2.86458,20.98444,0.50687,1.10668,1.61504
1981-12-31,259.95490,86.35257,84420.55000,0.40502,9.17378,276.42508,2.03579,1.95801,77.65888,0.67544,3.82484,2.93291
1982-01-31,230.46470,112.35136,84207.64000,0.28247,9.91010,272.49963,1.17088,1.37492,168.98029,0.70670,4.01115,2.65434
1982-02-28,246.81744,148.95009,84384.48400,0.38885,7.63931,276.03400,1.10660,1.22966,387.11142,0.66438,6.57874,5.71154
1982-03-31,255.65930,187.99420,83923.64000,0.39818,10.88077,274.97043,1.14881,3.16980,349.95224,0.69357,4.50322,3.96912
1982-04-30,256.95630,257.27140,84335.30000,0.43584,7.27397,278.35336,1.04405,2.16318,510.09714,0.68766,7.03424,7.00883
1982-05-31,257.51935,342.33228,84116.58600,0.53357,0.33719,284.24872,0.73230,-0.19930,453.68020,0.69658,5.21200,6.90658
1982-06-30,280.98660,326.30286,84136.87500,0.62932,0.89863,286.32187,1.07527,0.08338,275.44083,0.64783,4.85313,4.07146
1982-07-31,294.79930,331.85464,84448.39000,0.65969,0.13321,291.15990,1.09704,0.62129,131.12305,0.60453,3.17522,1.70403
1982-08-31,299.76944,294.71160,84530.23000,0.62669,0.13480,291.67540,0.76107,1.27748,36.58353,0.53902,1.76558,0.40116
1982-09-30,283.68845,219.23132,84206.30500,0.53264,3.94906,286.41260,0.76182,0.58802,1.51649,0.48505,0.55075,0.61994
1982-10-31,262.57486,170.11638,84407.82000,0.43339,6.72045,281.97202,0.46914,0.97347,2.78184,0.54871,0.57365,1.38580
1982-11-30,247.18553,116.52940,84025.76600,0.33796,10.35693,275.74942,0.96460,2.10298,19.50311,0.67186,2.49625,1.97158
1982-12-31,238.97612,94.90834,84246.75000,0.32985,6.68182,274.19333,0.65699,0.69608,171.17122,0.70590,4.83752,2.51419
1983-01-31,245.37755,106.81575,84242.67000,0.34383,8.57812,275.49387,0.22436,2.00796,261.76123,0.67416,3.66002,2.86503
1983-02-28,267.52450,133.67134,83973.81000,0.41760,12.30576,275.27158,1.07945,3.48796,373.43930,0.68877,4.82739,4.25467
1983-03-31,273.44840,179.97740,83758.47000,0.45692,12.41073,275.55734,1.48996,3.21580,548.24115,0.68855,7.03456,6.45055
1983-04-30,259.56740,245.76324,83908.54000,0.42168,6.13719,276.52927,0.38827,1.44974,671.04170,0.68560,3.08713,3.45509
1983-05-31,258.98150,332.44632,84224.79000,0.52435,0.94621,283.57767,0.90680,-0.34970,695.94680,0.70007,4.43202,7.90110
1983-06-30,275.41354,340.07687,84110.45000,0.60620,0.29462,287.09488,1.46495,0.34819,514.06506,0.69185,7.86148,10.24393
1983-07-31,278.36224,336.39307,84359.63000,0.56465,0.00575,289.22858,1.11559,1.58654,267.84006,0.63058,6.03616,4.49131
1983-08-31,308.59583,280.15150,84517.91400,0.70568,1.06100,291.12690,0.57370,1.56353,75.15021,0.56833,2.93619,1.20129
1983-09-30,290.45300,237.01437,84282.75000,0.58576,2.22750,289.22570,0.79470,1.39880,11.80627,0.52072,1.05669,0.46815
1983-10-31,270.43512,175.19809,84423.07000,0.49382,1.70212,284.55795,0.46015,0.46582,2.47456,0.52417,0.47098,0.37247
1983-11-30,271.67580,100.01888,84134.94000,0.45244,14.67829,276.62950,1.82238,2.65139,2.16737,0.52271,2.85770,3.64688
1983-12-31,273.79587,78.34708,84241.26000,0.46062,12.75070,275.11835,2.48213,2.58312,147.34312,0.69636,5.90125,2.40555
1984-01-31,225.24196,119.95009,84596.70000,0.29905,0.47728,276.15146,-0.52245,-0.13633,309.11896,0.71580,2.71099,2.26070
1984-02-29,237.99255,149.42142,84378.34000,0.31638,5.11171,275.17294,0.71416,1.02288,308.34598,0.64291,1.49032,1.64845
1984-03-31,249.67233,204.43767,84252.69000,0.39875,3.10345,278.41312,1.24982,-0.11029,377.48233,0.65492,1.90789,2.14799
1984-04-30,248.36613,263.25183,84069.11000,0.40135,2.31799,278.23364,1.61604,-0.16092,368.82028,0.65659,1.89204,2.53579
1984-05-31,270.68237,332.27588,84314.79000,0.52323,0.68102,285.88830,1.91128,0.20323,344.48470,0.64542,3.95599,4.65685
1984-06-30,277.29623,333.06530,84162.42000,0.56620,1.05825,287.35703,1.50767,0.32115,146.80151,0.64147,4.46952,2.39340
1984-07-31,309.45544,331.18518,84359.19500,0.66639,0.45210,293.40994,0.46827,0.53791,35.60126,0.58250,2.05987,0.64665
1984-08-31,307.48062,282.31770,84449.33600,0.61881,0.01629,292.45117,0.93417,1.38872,0.67874,0.50633,0.42933,0.14908
