indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,252.82124,185.00300,82887.67000,0.35441,0.69719,284.19740,0.29225,-0.33142,10.92098,0.48041,0.47634,0.11251
1980-11-30,236.32480,128.74243,82957.83000,0.27648,0.97315,279.21417,0.40735,-0.26178,11.12639,0.47729,0.32280,0.08613
1980-12-31,231.58809,103.61195,82910.44500,0.29740,2.75099,277.53950,-0.33616,0.45382,18.54098,0.48240,0.26145,0.25773
1981-01-31,244.89607,105.17511,82620.94000,0.34084,8.43214,275.83902,-0.05013,1.63226,52.97236,0.51941,0.36840,0.48157
1981-02-28,241.85272,144.33368,82667.95000,0.34764,2.69647,275.77167,0.17118,0.52152,193.01132,0.61645,0.97590,0.70285
1981-03-31,248.03670,193.78452,82370.08000,0.39809,5.84994,275.23563,0.57142,0.52482,198.99382,0.63500,1.72112,1.25899
1981-04-30,250.18716,274.58316,82571.77000,0.44772,1.87980,280.51550,0.89131,0.08970,265.19318,0.65206,1.55790,2.51252
1981-05-31,264.44440,309.36365,82422.71000,0.52064,1.12356,283.05850,1.69132,-0.56074,212.89044,0.65043,2.87465,3.28453
1981-06-30,283.46432,341.88638,82699.52000,0.55379,0.01634,290.16568,1.46077,-0.73592,101.39519,0.62536,3.32551,1.56236
1981-07-31,281.33908,338.33450,82793.76600,0.47456,0.01653,291.78235,1.16479,0.25716,10.51061,0.54345,0.64881,0.21812
1981-08-31,287.73148,304.32560,82793.72000,0.47306,0.02076,292.53018,0.88572,0.08980,5.32876,0.48427,0.38918,0.19140
1981-09-30,282.54834,240.80217,82746.92000,0.47405,0.23632,288.45000,1.13035,-0.21881,1.95212,0.44927,0.28155,0.09065
1981-10-31,253.59442,167.97426,82580.01000,0.38317,4.16954,280.46274,0.64398,0.34292,1.29701,0.43669,0.21157,0.29093
1981-11-30,260.14468,106.08019,82650.86000,0.43428,8.43847,277.72656,0.35803,1.95362,30.71707,0.50768,0.92163,1.79517
