indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,240.23932,178.82600,79618.91000,0.30478,0.94762,280.60446,0.42784,0.70576,0.00000,0.51118,0.18878,0.21481
1980-11-30,232.59767,115.50301,79644.26000,0.27386,1.00633,275.83760,1.07634,1.23101,0.00000,0.51053,0.16467,0.52527
1980-12-31,220.20706,95.89497,79484.33000,0.26566,2.61938,273.59006,0.84127,1.87109,7.89586,0.51596,0.15040,0.37980
1981-01-31,234.73952,102.28547,79275.67000,0.31429,5.04817,273.60100,0.65534,1.92887,43.98674,0.54912,0.14538,0.36030
1981-02-28,227.26617,143.35966,79355.16400,0.30228,2.40406,272.32330,1.20657,1.58041,152.87918,0.58492,0.18978,0.79002
1981-03-31,235.66077,187.42024,79017.43000,0.32598,3.26033,273.01013,1.52817,0.60092,138.12007,0.64556,0.41500,0.73721
1981-04-30,238.93172,272.35208,79275.93000,0.37837,1.02506,277.85800,1.52268,0.47369,143.67001,0.68615,1.11138,1.47432
1981-05-31,253.30034,306.55527,79187.78000,0.45930,1.67905,280.45910,2.29996,-0.39219,26.48959,0.71413,1.48157,1.48525
1981-06-30,270.38260,338.47305,79566.09000,0.53837,0.02685,286.98502,2.46185,-0.08327,0.83256,0.66181,0.46162,0.46222
1981-07-31,264.96307,343.12732,79612.20000,0.44619,0.00339,288.51517,2.37023,0.33301,0.00000,0.57500,0.21445,0.11120
1981-08-31,273.80936,304.07962,79641.16400,0.43162,0.01060,290.41095,1.98929,0.42270,0.00000,0.51140,0.15748,0.09928
1981-09-30,274.10250,236.71857,79623.43000,0.44190,0.56898,286.92914,1.70130,-0.15568,0.00000,0.46294,0.13195,0.11565
1981-10-31,248.41504,159.58687,79348.91000,0.38850,3.74109,278.32587,1.13121,0.83539,0.00000,0.44959,0.12499,0.21337
1981-11-30,247.84918,104.17139,79231.27000,0.38277,12.76204,274.75812,1.42252,2.58532,13.25756,0.51920,0.73358,0.30591
1981-12-31,249.81640,81.89838,79302.86000,0.36483,9.67062,273.46854,3.04926,2.48076,99.04934,0.74386,3.31727,0.37366
1982-01-31,216.04861,104.56137,79074.08000,0.24133,6.56352,268.33072,1.98692,1.45805,203.57314,0.75921,1.61186,1.36900
1982-02-28,230.09578,143.36534,79321.40000,0.33661,5.45929,272.19623,1.47001,1.67140,400.68604,0.69415,3.43826,4.33840
1982-03-31,237.83304,184.22798,78803.87500,0.32451,8.70670,271.66022,2.21286,2.37610,327.86887,0.76969,2.81479,2.46110
1982-04-30,232.64261,252.98302,79245.19500,0.33281,6.65036,274.37848,1.81496,2.28248,510.24188,0.72093,4.20641,4.80237
1982-05-31,238.21495,332.76276,79192.46000,0.41244,0.44730,280.59592,1.32259,-0.71428,428.69130,0.78650,6.28961,6.75403
1982-06-30,263.34550,321.24347,79229.51600,0.52728,1.14311,282.74200,1.83369,-0.22150,153.58945,0.74404,3.87327,3.90330
1982-07-31,275.01062,332.61400,79629.89000,0.59265,0.49919,287.66220,2.37467,0.29063,35.02887,0.67782,1.61526,1.69356
1982-08-31,279.59730,294.82895,79734.49000,0.55482,0.23610,288.51382,2.08994,0.86042,1.95090,0.59386,0.40864,0.47475
1982-09-30,263.94116,221.51099,79386.79000,0.46808,3.89698,282.55853,0.81676,-0.21819,0.00000,0.53552,0.25659,0.50773
1982-10-31,244.01207,168.69585,79465.31000,0.37909,5.53413,277.57922,0.60723,1.04985,2.97465,0.59982,0.33416,0.21770
1982-11-30,231.81747,110.33100,78953.53000,0.29347,6.38532,271.99704,1.30308,1.88647,34.15459,0.69118,0.62801,3.09302
1982-12-31,217.52434,90.34325,79098.62500,0.27196,5.52923,269.28296,1.31907,1.46915,185.45753,0.68325,0.63093,3.86043
