indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,218.46732,183.43387,73985.86000,0.26666,0.96400,278.57240,0.25242,0.62751,0.53062,0.45181,0.81660,0.36998
1980-11-30,206.74500,129.45270,73875.83600,0.21496,1.21138,273.80295,0.99514,0.63088,0.41051,0.45471,0.58677,0.28982
1980-12-31,205.63905,103.33317,73855.98000,0.24142,2.68727,273.38828,0.43777,1.07261,21.97461,0.45376,0.47467,0.26257
1981-01-31,214.66428,109.64043,73480.16400,0.25700,5.99653,271.14642,0.48137,1.59077,75.36835,0.47137,0.44398,0.22080
1981-02-28,210.14581,155.85901,73568.97000,0.25679,1.92618,270.30014,0.94180,0.90440,229.51115,0.48462,0.51203,0.30014
1981-03-31,217.16656,206.64626,73286.28000,0.30149,4.75036,270.00555,1.08819,0.39754,252.48940,0.49130,0.77236,0.36742
1981-04-30,216.77039,275.63412,73548.66000,0.32492,1.32400,275.31396,0.78456,0.73781,350.09503,0.49474,1.71319,1.56097
1981-05-31,229.17783,303.28537,73448.44000,0.38257,1.30347,277.61002,1.63291,-0.18112,244.54094,0.54593,5.75977,3.00844
1981-06-30,248.25290,332.66410,73934.10000,0.44621,0.01729,284.57956,1.48669,0.21824,34.59144,0.54078,3.05164,2.40928
1981-07-31,244.42210,329.92060,74048.00000,0.37376,0.00286,286.40457,0.94481,1.18999,0.24638,0.45977,1.22145,0.54133
1981-08-31,253.53291,292.18940,74114.76600,0.37859,0.01453,287.79776,0.50155,0.89915,0.15805,0.41544,0.77099,0.24637
1981-09-30,251.30632,236.20518,73992.61000,0.40390,0.18262,283.67688,0.69443,0.43639,0.06269,0.38871,0.53938,0.15944
1981-10-31,225.25552,168.76637,73618.12500,0.31123,4.11132,275.83984,0.77935,0.75461,0.00000,0.38320,0.40178,0.20034
1981-11-30,226.23764,115.35609,73553.41400,0.32026,6.90318,272.75090,1.29941,2.40142,62.49427,0.43046,0.43217,0.63954
1981-12-31,223.39674,93.36807,73538.50000,0.29601,6.40227,271.30957,2.96797,1.22699,184.97914,0.49471,0.57458,0.76895
1982-01-31,196.74115,115.22877,73256.12000,0.21045,8.49101,267.00250,2.04195,0.67080,344.58044,0.49862,0.68182,0.45864
1982-02-28,209.06554,157.31256,73510.74000,0.27486,5.65068,270.22464,1.58255,0.88010,608.10767,0.47247,1.11891,1.11938
1982-03-31,212.01773,201.99278,72997.36000,0.26918,7.77514,268.90268,1.58651,2.55203,707.73126,0.49020,1.23697,0.74764
1982-04-30,212.43704,264.40906,73469.30000,0.29547,6.23430,272.02780,1.35939,1.79101,915.50120,0.47353,1.93298,2.50706
1982-05-31,217.65439,323.25735,73487.86000,0.35139,0.61709,277.64008,0.72423,-0.13566,978.85450,0.51366,7.32248,6.37067
1982-06-30,242.51314,315.74908,73562.69000,0.43191,1.99491,280.28583,0.58218,0.30132,625.51294,0.57842,14.29079,7.13624
