id,elev,sand,slope,size,p_mean
1,1487.4879,44.9773,4.2569,12953987336.9017,1.7581
2,1354.5011,50.6290,7.9771,1567763517.0824,3.9738
3,1272.3809,50.4500,12.3874,1098251675.0581,4.3242
4,1423.1895,51.9088,13.3685,1858328082.5213,4.0195
5,710.1366,47.7286,6.5416,23179337470.4637,2.4893
6,1535.1683,52.1060,8.2994,9442083671.3007,3.0439
7,1444.4084,51.5463,10.2445,2871765099.2591,4.5483
8,1312.3845,51.4808,9.2219,4979272203.0040,3.5209
9,2079.8552,53.5996,8.1798,1102152652.7233,2.5317
10,2467.3818,57.8915,10.7395,169687662.3443,2.6824
11,2315.5742,52.6814,11.3152,923723554.5646,2.1491
12,943.3402,50.7388,6.5183,1385122196.7938,2.9222
13,1702.5988,55.2615,10.5091,1417966776.4922,3.3928
14,2700.5764,55.4051,11.3813,466753279.5684,2.4298
15,2516.9556,49.3547,10.1239,932845366.6813,1.4480
16,1624.9126,53.4406,9.9037,2538220133.1469,3.1276
17,1795.0312,54.6615,10.5315,3979400468.9108,2.9227
18,1643.5428,54.3191,11.2083,2748139166.5461,2.6748
19,2109.7400,57.6080,11.0424,4342380003.9271,2.5881
20,2330.6018,57.6020,14.7679,3997807784.1621,2.5329
21,1724.2954,55.2163,14.6247,1450773640.9613,2.2452
22,1216.2533,52.3057,12.4649,1014596925.1880,1.6957
23,2198.0596,57.8718,11.7127,5372988428.0092,1.3677
